time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-08-30T23:58:39.086Z,61.2409,-149.8915,10.1,1.4,ml,,,,0.51,ak,ak015b4m3gys,2019-05-21T05:03:23.338Z,"2km N of Anchorage, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2015-08-30T23:49:59.800Z,47.2358,-113.1821,17.5,1.2,mc,17,183.599985312001,0.2120024,0.12,mb,mb15649633,2015-09-01T21:21:06.203Z,"23km ENE of Seeley Lake, Montana",earthquake,0.6,0.5,0.5,3,automatic,mb,mb
2015-08-30T23:49:39.400Z,19.5494,-66.3517,43,3,Md,5,306,1.25404814,0.1,pr,pr15242007,2015-12-01T00:36:04.040Z,"119km N of Brenas, Puerto Rico",earthquake,1.6,9.3,0,5,reviewed,pr,pr
2015-08-30T23:49:27.554Z,61.4782,-151.4722,76.5,1.6,ml,,,,0.54,ak,ak015b4m1imr,2019-05-21T05:03:22.985Z,"80km W of Big Lake, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2015-08-30T23:45:02.749Z,51.6188,-176.4028,40,1.1,ml,,,,0.19,ak,ak015b4m0luq,2019-05-21T05:03:22.661Z,"33km SSE of Adak, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2015-08-30T23:43:18.890Z,-55.5935,-27.6812,35.09,4.6,mb,,67,5.244,0.6,us,us20003it2,2015-12-01T00:36:04.040Z,"126km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,12.5,9.4,0.099,30,reviewed,us,us
2015-08-30T23:41:27.081Z,41.8792,-119.6314,9.7,2,ml,5,146.82,0.142,0.2105,nn,nn00508688,2018-06-30T00:00:58.349Z,"69km ESE of Lakeview, Oregon",earthquake,,4.2,0.46,4,reviewed,nn,nn
2015-08-30T23:40:39.630Z,35.0313333,-117.6741667,-0.82,1.71,ml,39,59,0.09841,0.24,ci,ci37235935,2016-03-11T08:23:27.990Z,"4km NNW of Boron, CA",quarry blast,0.45,31.61,0.122,15,reviewed,ci,ci
2015-08-30T23:32:47.450Z,32.3541667,-115.4186667,15.93,2.16,ml,18,224,0.1162,0.26,ci,ci37235927,2016-03-11T23:14:52.002Z,"21km W of Delta, B.C., MX",earthquake,0.96,0.89,0.173,12,reviewed,ci,ci
2015-08-30T23:31:51.670Z,41.8699,-119.6132,10.8,1.8,ml,6,208.45,0.159,0.2088,nn,nn00508689,2018-06-30T00:00:58.257Z,"71km ESE of Lakeview, Oregon",earthquake,,3,0.34,4,reviewed,nn,nn
2015-08-30T23:21:33.660Z,-17.8795,-175.008,234.84,4.4,mb,,148,4.966,0.61,us,us20003isz,2015-12-01T00:36:04.040Z,"137km NW of Neiafu, Tonga",earthquake,14.5,9.2,0.104,27,reviewed,us,us
2015-08-30T23:16:31.600Z,37.5963333,-118.784,5.079,1.11,md,29,75,0.03604,0.03,nc,nc72516021,2018-06-30T00:00:57.778Z,"17km ESE of Mammoth Lakes, California",earthquake,0.22,0.38,0.195,23,reviewed,nc,nc
2015-08-30T23:13:46.401Z,41.8798,-119.6127,8.8,0.7,ml,5,220.53,0.154,0.1323,nn,nn00508686,2018-06-30T00:00:57.878Z,"69km ESE of Lakeview, Oregon",earthquake,,3.6,0,1,reviewed,nn,nn
2015-08-30T22:57:19.556Z,41.8715,-119.6393,11.7,2.7,ml,7,76.52,0.142,0.2266,nn,nn00508679,2018-06-30T00:00:57.970Z,"68km ESE of Lakeview, Oregon",earthquake,,2.6,0.38,5,reviewed,nn,nn
2015-08-30T22:46:27.000Z,-34.929,-71.731,49.1,4.2,mb,,,,0.42,us,us20003isy,2015-12-01T00:36:04.040Z,"45km W of Curico, Chile",earthquake,3.2,3.5,0.263,4,reviewed,guc,us
2015-08-30T22:42:40.994Z,60.9878,-150.9217,19.9,1.5,ml,,,,0.6,ak,ak015b4lem1v,2019-05-21T05:03:22.280Z,"38km NNE of Nikiski, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2015-08-30T22:40:50.426Z,37.1629,-117.3772,11.1,0.7,ml,8,163.67,0.165,0.0474,nn,nn00508677,2018-06-30T00:00:57.583Z,"61km WNW of Beatty, Nevada",earthquake,,5.6,0.76,4,reviewed,nn,nn
2015-08-30T22:33:16.964Z,41.8771,-119.6349,10.1,1.3,ml,6,207.09,0.142,0.1353,nn,nn00508681,2018-06-30T00:00:57.680Z,"68km ESE of Lakeview, Oregon",earthquake,,2.1,0.41,3,reviewed,nn,nn
2015-08-30T22:18:19.790Z,39.9336667,-123.3,0.393,1.46,md,9,107,0.09099,0.04,nc,nc72516011,2017-02-08T09:41:33.736Z,"16km NNW of Covelo, California",earthquake,0.33,0.86,0.225,10,reviewed,nc,nc
2015-08-30T22:09:09.390Z,38.7879982,-122.7490005,1.166,0.57,md,7,101,0.01081,0.03,nc,nc72516001,2017-02-08T09:41:28.884Z,"1km NNE of The Geysers, California",earthquake,0.85,1.82,,1,automatic,nc,nc
2015-08-30T22:09:06.080Z,19.3948333,-155.6173333,-0.423,0.56,md,5,153,,0.11,hv,hv61024731,2020-07-06T20:49:44.590Z,"25 km NW of Pāhala, Hawaii",earthquake,1.05,0.45,0.056,3,reviewed,hv,hv
2015-08-30T22:08:13.580Z,51.7841,176.9139,71.44,4.2,mb,,190,1.004,0.52,us,us1000368j,2019-05-21T05:03:21.939Z,"59km SW of Kiska Volcano, Alaska",earthquake,6.2,8.9,0.095,31,reviewed,us,us
2015-08-30T22:08:07.170Z,38.7893333,-122.7546667,0.227,1.21,md,31,64,0.01171,0.04,nc,nc72516006,2017-02-08T09:41:22.380Z,"1km N of The Geysers, California",earthquake,0.14,0.24,0.165,5,reviewed,nc,nc
2015-08-30T22:07:24.040Z,38.7923317,-122.7531662,-0.21,0.88,md,8,91,0.01622,0.01,nc,nc72515991,2017-02-08T09:41:14.541Z,"1km N of The Geysers, California",earthquake,0.34,1.86,0.01,3,automatic,nc,nc
2015-08-30T22:07:00.050Z,38.784668,-122.751503,2.2,1.13,md,7,86,0.01171,0.01,nc,nc72515986,2017-02-08T09:41:09.634Z,"0km NNE of The Geysers, California",earthquake,0.42,1.04,0.68,2,automatic,nc,nc
2015-08-30T22:06:47.370Z,38.7960014,-122.7509995,-0.439,,,8,107,0.01712,0.03,nc,nc72515981,2017-02-08T09:41:04.886Z,"Northern California",earthquake,0.37,3.1,,,automatic,nc,nc
2015-08-30T22:06:37.350Z,38.7916667,-122.7536667,-0.433,1.89,md,46,42,0.00991,0.05,nc,nc72515976,2017-02-08T09:40:58.560Z,"1km N of The Geysers, California",earthquake,0.11,0.25,0.252,20,reviewed,nc,nc
2015-08-30T22:05:49.460Z,19.4095,-155.6335,-0.094,0.64,md,7,148,,0.03,hv,hv61024726,2020-07-06T20:49:44.470Z,"24 km ESE of Honaunau-Napoopoo, Hawaii",earthquake,0.71,0.35,0.09,4,reviewed,hv,hv
2015-08-30T22:01:08.180Z,38.7756653,-122.7441635,0.844,0.73,md,9,79,0.00991,0.01,nc,nc72515971,2017-02-08T09:40:50.573Z,"1km E of The Geysers, California",earthquake,0.34,0.54,0.15,2,automatic,nc,nc
2015-08-30T22:00:56.100Z,5.5903,126.4521,124.48,4.4,mb,,106,1.706,0.72,us,us1000367d,2015-12-01T00:36:04.040Z,"90km SSE of Pondaguitan, Philippines",earthquake,5.6,8.3,0.124,19,reviewed,us,us
2015-08-30T21:29:57.600Z,37.119,-97.8206667,5.23,1.96,ml,18,49,0.04253,0.05,ismpkansas,ismpkansas70132368,2015-09-02T23:31:24.320Z,"19km ESE of Anthony, Kansas",earthquake,0.16,0.44,0.129,20,reviewed,ismp,ismp
2015-08-30T21:29:51.307Z,38.4202,-118.7696,2.3,1.3,ml,7,122.05,0.037,0.0878,nn,nn00508673,2018-06-30T00:00:57.478Z,"17km SW of Hawthorne, Nevada",earthquake,,4.1,0.03,2,reviewed,nn,nn
2015-08-30T21:28:25.560Z,41.8885,-119.6284,9.4,2.2,ml,6,190.43,0.139,0.1674,nn,nn00508670,2018-06-30T00:00:58.160Z,"71km ESE of Lakeview, Oregon",earthquake,,3.1,0.44,5,reviewed,nn,nn
2015-08-30T21:28:22.690Z,37.0605,-97.5253333,5.69,2.09,ml,19,106,0.06087,0.06,ismpkansas,ismpkansas70132363,2015-10-02T13:15:34.466Z,"7km ENE of Caldwell, Kansas",earthquake,0.15,0.44,0.161,19,reviewed,ismp,ismp
2015-08-30T21:27:12.960Z,60.9995,-150.9603,14.8,2.6,ml,,,,0.72,ak,ak015b4kpwjk,2019-05-21T05:03:21.621Z,"38km NNE of Nikiski, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2015-08-30T21:24:40.300Z,36.4967,-98.714,0.09,2.6,ml,,117,,0.52,us,us10003676,2015-12-01T00:36:04.040Z,"32km NW of Fairview, Oklahoma",earthquake,1.7,7.7,,,reviewed,tul,tul
2015-08-30T21:23:17.067Z,51.6119,-175.9124,51.6,1.8,ml,,,,0.77,ak,ak015b4kp1zu,2019-05-21T05:03:21.262Z,"59km ESE of Adak, Alaska",earthquake,,2.3,,,reviewed,ak,ak
2015-08-30T21:12:37.340Z,37.0613,-97.5232,5.79,2.7,ml,,107,0.06,0.3,us,us20003fjt,2015-12-01T00:36:04.040Z,"8km ENE of Caldwell, Kansas",earthquake,1.5,4.2,0.204,20,reviewed,ismp,ismp
2015-08-30T21:06:55.330Z,46.6128333,-119.8053333,7.94,-0.21,md,5,236,0.02977,0.04,uw,uw61073241,2016-07-22T19:56:52.850Z,"11km SE of Desert Aire, Washington",earthquake,0.93,0.36,0.196,4,reviewed,uw,uw
2015-08-30T21:06:20.450Z,9.2079,126.6725,35.25,4.3,mb,,156,2.384,0.39,us,us20003isx,2015-12-01T00:36:04.040Z,"49km ENE of Bayabas, Philippines",earthquake,11.7,8.9,0.129,17,reviewed,us,us
2015-08-30T21:05:51.105Z,61.2197,-147.0153,3.6,2.4,ml,,,,0.62,ak,ak015b4kl9qe,2019-05-21T05:03:20.936Z,"37km WNW of Valdez, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2015-08-30T21:04:29.321Z,63.8029,-149.3137,112,1.2,ml,,,,0.44,ak,ak015b4kl0c4,2019-05-21T05:03:20.579Z,"18km WSW of Healy, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2015-08-30T21:03:32.580Z,35.9723333,-117.8938333,4.3,-0.04,ml,12,66,0.03544,0.07,ci,ci37235895,2016-03-11T15:36:23.731Z,"4km NNE of Little Lake, CA",earthquake,0.18,0.23,0.088,1,reviewed,ci,ci
2015-08-30T21:01:16.290Z,46.6171667,-119.81,8.75,-0.14,md,5,245,0.03324,0.04,uw,uw60113508,2016-07-22T19:56:51.820Z,"10km SE of Desert Aire, Washington",earthquake,1.01,0.49,0.194,4,reviewed,uw,uw
2015-08-30T21:00:55.320Z,46.615,-119.8063333,7.46,0.28,md,6,241,0.03052,0.04,uw,uw61073236,2016-07-22T19:56:51.550Z,"11km SE of Desert Aire, Washington",earthquake,0.79,0.4,0.363,5,reviewed,uw,uw
2015-08-30T20:46:15.710Z,33.4793333,-116.5676667,8.87,0.36,ml,19,108,0.03268,0.13,ci,ci37235887,2016-03-11T15:36:22.391Z,"13km SE of Anza, CA",earthquake,0.26,0.45,0.082,9,reviewed,ci,ci
2015-08-30T20:41:19.951Z,63.9134,-148.6238,109.4,1,ml,,,,0.25,ak,ak015b4k7hi3,2019-05-21T05:03:20.254Z,"17km ENE of Healy, Alaska",earthquake,,1,,,reviewed,ak,ak
2015-08-30T20:33:03.197Z,66.1852,-149.4278,11.2,0.8,ml,,,,1.03,ak,ak015b4k5qhb,2019-05-21T05:03:19.913Z,"124km SSE of Coldfoot, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2015-08-30T20:31:45.660Z,9.1943,126.622,52.59,4.3,mb,,128,2.349,1.01,us,us20003isw,2015-12-01T00:36:04.040Z,"44km NE of Bayabas, Philippines",earthquake,9.5,9,0.116,21,reviewed,us,us
2015-08-30T20:31:23.810Z,38.8406677,-122.8089981,2.264,0.56,md,6,180,0.01441,0,nc,nc72515956,2017-02-08T09:40:45.568Z,"7km WNW of Cobb, California",earthquake,1.75,1.15,,1,automatic,nc,nc
2015-08-30T20:28:32.892Z,60.1092,-140.8782,8.4,1.3,ml,,,,0.5,ak,ak015b4k4q6x,2019-05-21T05:03:19.588Z,"86km E of Cape Yakataga, Alaska",earthquake,,0.3,,,reviewed,ak,ak
