time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-19T23:59:02.600Z,19.0023,-65.81,29,2.54,md,5,308,0.7453,0.36,pr,pr2019323022,2019-11-20T06:00:25.173Z,"63km N of Vieques, Puerto Rico",earthquake,3.58,21.85,0,1,reviewed,pr,pr
2019-11-19T23:33:57.404Z,84.8293,100.6843,10,4.6,mb,,67,12.195,0.76,us,us70006a4z,2020-02-14T22:02:05.040Z,"North of Severnaya Zemlya",earthquake,7.8,1.9,0.068,64,reviewed,us,us
2019-11-19T23:31:51.570Z,33.7365,-117.4946667,10.27,0.94,ml,30,86,0.02799,0.17,ci,ci38253450,2019-11-20T16:35:02.859Z,"12km NE of Trabuco Canyon, CA",earthquake,0.21,0.39,0.139,12,reviewed,ci,ci
2019-11-19T23:26:43.580Z,19.0441,-65.1951,30,3.33,md,7,329,1.114,0.18,pr,pr2019323021,2020-02-14T22:02:06.040Z,"87km N of Culebra, Puerto Rico",earthquake,1.82,13.58,0.09,5,reviewed,pr,pr
2019-11-19T23:16:34.317Z,66.3079,-157.2263,7.3,1.7,ml,,,,0.29,ak,ak019eukdkj6,2019-11-26T02:52:02.666Z,"68km SSW of Kobuk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-19T23:10:40.570Z,-33.6399,-66.8723,10,5.7,mww,,21,2.333,0.86,us,us70006a4q,2020-07-10T17:53:22.523Z,"62km SW of San Luis, Argentina",earthquake,6.1,1.7,0.045,48,reviewed,us,us
2019-11-19T23:08:09.992Z,55.1157,-156.427,39.2,2.9,ml,,,,0.74,ak,ak019eukbsw1,2020-02-14T22:02:22.040Z,"93km SSW of Chirikof Island, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2019-11-19T23:04:29.209Z,27.6261,34.5737,10,4.4,mb,,207,2.063,0.76,us,us70006dpe,2020-02-14T22:02:23.040Z,"36km SE of Sharm ash Shaykh, Egypt",earthquake,9.7,2,0.123,19,reviewed,us,us
2019-11-19T23:03:58.833Z,36.5431,21.2577,10,4.4,mb,,170,0.83,1.17,us,us70006dp7,2020-02-14T22:02:23.040Z,"50km SW of Methoni, Greece",earthquake,5.9,1.9,0.24,5,reviewed,us,us
2019-11-19T23:02:55.240Z,38.822834,-122.8088303,1.47,0.9,md,18,69,0.001121,0.02,nc,nc73306421,2019-11-19T23:11:03.115Z,"7km NW of The Geysers, CA",earthquake,0.24,0.42,0.11,4,automatic,nc,nc
2019-11-19T22:59:36.041Z,62.0404,-149.7483,51.1,1.3,ml,,,,0.52,ak,ak019euk1cuc,2019-11-26T02:52:29.055Z,"14km SSE of Y, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-11-19T22:58:51.020Z,52.7014,-167.7724,35,2.5,ml,,254,0.634,1.05,us,us70006d0d,2020-02-14T22:02:21.040Z,"78km ESE of Nikolski, Alaska",earthquake,2.6,2,0.128,8,reviewed,us,us
2019-11-19T22:51:19.920Z,66.31,-157.1703,9.5,1.4,ml,,,,0.37,ak,ak019eujzlvc,2019-11-26T02:52:28.280Z,"67km S of Kobuk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-19T22:51:03.630Z,33.3031667,-117.477,3.85,0.6,ml,16,178,0.1206,0.09,ci,ci38253378,2019-11-19T23:11:15.649Z,"12km NW of Camp Pendleton South, CA",earthquake,0.43,1.09,0.018,1,reviewed,ci,ci
2019-11-19T22:50:30.690Z,33.2603333,-117.5143333,10.32,0.64,ml,13,251,0.1384,0.21,ci,ci37239316,2019-11-19T23:10:15.485Z,"13km WNW of Camp Pendleton South, CA",earthquake,2.35,1.33,0.114,1,reviewed,ci,ci
2019-11-19T22:39:43.109Z,55.0067,-156.3813,34.6,3.1,ml,,,,0.45,ak,ak019eujx2y0,2020-02-14T22:02:22.040Z,"103km SSW of Chirikof Island, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2019-11-19T22:32:04.340Z,19.21,-67.2213,51,3.14,md,4,323,0.9816,0.23,pr,pr2019323020,2019-11-20T00:02:28.404Z,"80km N of San Antonio, Puerto Rico",earthquake,4.27,12.78,0.03,3,reviewed,pr,pr
2019-11-19T22:26:33.786Z,54.9716,-156.3628,19.6,4.6,ml,,,,0.5,ak,ak019euju9yc,2020-02-14T22:02:05.040Z,"105km SSW of Chirikof Island, Alaska",earthquake,,1.3,,,reviewed,ak,ak
2019-11-19T22:18:57.290Z,33.8506667,-117.4863333,-0.49,1.41,ml,45,62,0.04777,0.19,ci,ci38253322,2019-11-20T17:10:06.779Z,"4km SE of Home Gardens, CA",quarry blast,0.3,31.61,0.142,45,reviewed,ci,ci
2019-11-19T22:18:05.210Z,35.6731667,-117.5278333,7.09,1.84,ml,30,60,0.0611,0.18,ci,ci38253314,2019-11-19T22:28:59.750Z,"15km ENE of Ridgecrest, CA",earthquake,0.27,0.62,0.129,25,automatic,ci,ci
2019-11-19T22:13:14.014Z,59.9741,-139.96,9.4,1.4,ml,,,,0.48,ak,ak019eujrbtx,2019-11-26T02:51:59.860Z,"49km NNW of Yakutat, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-19T22:01:44.096Z,62.5015,-152.703,154.3,1.7,ml,,,,0.38,ak,ak019eujoxxl,2019-11-26T02:52:26.521Z,"135km W of Talkeetna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-11-19T22:01:27.430Z,37.6411667,-118.9195,6.63,0.39,md,11,72,0.0175,0.06,nc,nc73306396,2019-11-20T00:00:04.486Z,"5km E of Mammoth Lakes, CA",earthquake,0.83,1.36,0.027,7,reviewed,nc,nc
2019-11-19T22:01:07.084Z,66.3467,-157.388,9.1,1.4,ml,,,,0.23,ak,ak019eujov2s,2019-11-26T02:52:25.743Z,"66km SSW of Kobuk, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-19T21:55:54.260Z,37.442,-121.791,3.9,0.97,md,11,91,0.01118,0.12,nc,nc73306391,2019-11-30T11:31:04.517Z,"9km NNE of Alum Rock, CA",earthquake,0.42,0.7,0.187,8,reviewed,nc,nc
2019-11-19T21:53:39.500Z,19.2508333,-155.4378333,1.16,2.46,ml,45,104,0.04035,0.17,hv,hv71242486,2020-02-14T22:02:05.040Z,"6km NE of Pahala, Hawaii",earthquake,0.26,0.32,0.167,38,reviewed,hv,hv
2019-11-19T21:52:14.189Z,38.8627,-108.7204,1.86,1.8,ml,,110,0.331,0.62,us,us70006abj,2020-02-14T22:02:06.040Z,"24km SW of Orchard Mesa, Colorado",earthquake,2.1,3.3,0.074,24,reviewed,us,us
2019-11-19T21:48:00.340Z,-15.3844,167.6332,116.29,4.5,mb,,158,0.419,0.75,us,us70006dpd,2020-02-14T22:02:23.040Z,"52km ENE of Luganville, Vanuatu",earthquake,4.6,5.4,0.11,24,reviewed,us,us
2019-11-19T21:47:15.450Z,35.707,-117.5583333,6.43,1.79,ml,27,61,0.08523,0.19,ci,ci38253282,2019-11-20T14:33:39.120Z,"14km NE of Ridgecrest, CA",earthquake,0.29,0.95,0.143,26,reviewed,ci,ci
2019-11-19T21:42:37.500Z,38.7811667,-122.771,2.04,-0.42,md,9,110,0.01121,0.01,nc,nc73306381,2020-02-26T06:46:18.477Z,"1km WNW of The Geysers, CA",earthquake,0.52,0.37,,1,reviewed,nc,nc
2019-11-19T21:40:00.500Z,35.9111667,-117.7323333,6.12,1.25,ml,20,54,0.07595,0.15,ci,ci38253274,2019-11-20T14:32:25.877Z,"16km E of Little Lake, CA",earthquake,0.24,0.65,0.205,17,reviewed,ci,ci
2019-11-19T21:36:32.277Z,66.2993,-157.2355,6.9,1.1,ml,,,,0.36,ak,ak019eujazh7,2019-11-26T02:52:25.004Z,"69km SSW of Kobuk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-19T21:28:22.010Z,19.0661,-65.7881,30,2.78,md,5,311,0.8127,0.21,pr,pr2019323019,2019-11-20T00:02:08.717Z,"70km N of Loiza, Puerto Rico",earthquake,2.31,13.74,0.4,4,reviewed,pr,pr
2019-11-19T21:22:58.444Z,37.5992,20.3808,35.83,4.2,mb,,130,1.299,0.64,us,us70006dp9,2020-02-14T22:02:23.040Z,"41km WSW of Mouzaki, Greece",earthquake,6.6,6.8,0.305,3,reviewed,us,us
2019-11-19T21:17:38.299Z,62.0054,-147.4789,43.7,1.5,ml,,,,0.34,ak,ak019euj6xc5,2019-11-26T02:52:24.234Z,"75km ENE of Sutton-Alpine, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-19T21:15:29.630Z,19.1888333,-155.4093333,35.72,1.77,md,44,164,0.04969,0.11,hv,hv71242426,2019-11-22T02:17:37.180Z,"7km ESE of Pahala, Hawaii",earthquake,0.5,0.8,0.049,19,reviewed,hv,hv
2019-11-19T21:13:14.014Z,61.0888,-151.4929,71.3,1.3,ml,,,,0.27,ak,ak019euj60ll,2019-11-26T02:52:23.504Z,"45km NNW of Nikiski, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-19T21:12:59.850Z,44.7826667,-111.3843333,6.43,0.46,ml,8,98,0.058,0.14,mb,mb80372599,2019-11-20T00:32:25.880Z,"25km WNW of West Yellowstone, Montana",earthquake,0.99,2.22,0.058,3,reviewed,mb,mb
2019-11-19T21:11:22.788Z,62.9518,-151.6067,13.5,1.2,ml,,,,0.46,ak,ak019euj5lue,2019-11-26T02:52:22.762Z,"103km NW of Talkeetna, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-19T20:52:16.127Z,61.6226,-151.4853,71.8,1.4,ml,,,,0.28,ak,ak019euisy30,2019-11-26T02:52:22.023Z,"77km W of Willow, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-19T20:50:39.080Z,19.0035,-65.7828,25,3.04,md,10,297,0.7568,0.29,pr,pr2019323018,2020-02-14T22:02:05.040Z,"67km N of Suarez, Puerto Rico",earthquake,1.6,19.09,0.36,10,reviewed,pr,pr
2019-11-19T20:47:40.643Z,-5.6965,-76.8495,39.24,4.5,mb,,93,2.097,0.57,us,us70006a2n,2020-02-14T22:02:05.040Z,"41km NNE of Moyobamba, Peru",earthquake,6.8,6.2,0.073,58,reviewed,us,us
2019-11-19T20:44:36.960Z,35.7498333,-117.5623333,3.65,1.03,ml,22,115,0.07172,0.17,ci,ci38253234,2019-11-19T20:48:19.601Z,"14km W of Searles Valley, CA",earthquake,0.32,0.92,0.18,13,automatic,ci,ci
2019-11-19T20:43:31.986Z,65.3258,-168.4451,0.5,2.2,ml,,,,0.55,ak,ak019euir1v2,2019-11-26T02:52:21.303Z,"49km SSE of Little Diomede Island, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-11-19T20:41:21.443Z,62.3355,-150.18,13.9,1.3,ml,,,,0.57,ak,ak019euiqlm8,2019-11-26T02:52:20.538Z,"3km WNW of Talkeetna, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-19T20:40:58.670Z,35.6621667,-117.5223333,9.36,1.08,ml,16,123,0.05527,0.28,ci,ci38253218,2019-11-19T20:44:42.581Z,"15km ENE of Ridgecrest, CA",earthquake,0.57,1.17,0.1,14,automatic,ci,ci
2019-11-19T20:40:26.924Z,51.37,-178.366,36,2,ml,,,,0.47,ak,ak019euiqebo,2019-11-26T02:52:19.792Z,"53km ENE of Amatignak Island, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2019-11-19T20:40:24.322Z,55.9671,-160.4243,138.9,2.6,ml,,,,0.59,ak,ak019euiqe4g,2020-02-14T22:02:21.040Z,"70km N of Sand Point, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-19T20:37:36.170Z,38.8030014,-122.7336655,1.77,0.8,md,13,148,0.01723,0.08,nc,nc73306371,2019-11-19T20:46:02.428Z,"2km SSW of Cobb, CA",earthquake,0.44,0.62,0.13,2,automatic,nc,nc
2019-11-19T20:33:37.728Z,63.3478,-145.5323,9.2,1.2,ml,,,,0.35,ak,ak019euiox58,2019-11-26T02:52:18.290Z,"60km SSW of Deltana, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-19T20:27:50.190Z,38.824,-122.8536667,2.42,0.38,md,13,129,0.004336,0.03,nc,nc73306366,2020-02-26T06:56:02.483Z,"10km WNW of The Geysers, CA",earthquake,0.27,0.43,,1,reviewed,nc,nc
2019-11-19T20:27:24.096Z,-12.6325,113.3054,10,4.8,mww,,50,4.219,1.02,us,us70006a20,2020-02-14T22:02:05.040Z,"Northwest of Australia",earthquake,6.7,1.7,0.075,17,reviewed,us,us
2019-11-19T20:22:25.881Z,4.306,122.9236,555.42,4.1,mb,,103,4.494,1.34,us,us70006dp4,2020-02-14T22:02:23.040Z,"222km SSE of Tabiauan, Philippines",earthquake,15,12,0.135,15,reviewed,us,us
2019-11-19T20:21:11.460Z,35.6616667,-117.4798333,7.56,2.02,ml,31,63,0.06279,0.19,ci,ci38253186,2019-11-19T20:25:01.463Z,"14km SSW of Searles Valley, CA",earthquake,0.27,0.77,0.128,25,automatic,ci,ci
2019-11-19T20:14:12.450Z,35.8473333,-117.6746667,4.8,0.89,ml,14,81,0.07018,0.17,ci,ci38253170,2019-11-19T20:17:57.421Z,"23km ESE of Little Lake, CA",earthquake,0.37,0.76,0.091,10,automatic,ci,ci
2019-11-19T20:03:17.970Z,38.8058333,-122.7696667,-0.33,0.63,md,5,174,0.02014,0.02,nc,nc73306356,2019-11-30T09:28:03.986Z,"3km NNW of The Geysers, CA",earthquake,0.76,2.27,,1,reviewed,nc,nc
2019-11-19T20:00:14.080Z,45.9936667,-112.4706667,-2,1.1,ml,8,111,0.062,0.08,mb,mb80372589,2019-11-20T00:26:10.950Z,"5km ESE of Butte, Montana",quarry blast,0.39,31.61,0.14,3,reviewed,mb,mb
2019-11-19T19:57:35.280Z,18.7598,-68.8565,11,2.86,md,13,171,0.6252,0.28,pr,pr2019323017,2020-02-14T22:02:05.040Z,"20km NNW of Otra Banda, Dominican Republic",earthquake,1.25,1.95,0.71,10,reviewed,pr,pr
2019-11-19T19:46:28.567Z,63.9644,-146.8288,6.6,1.4,ml,,,,0.77,ak,ak019eui696y,2019-11-26T02:51:58.869Z,"54km W of Delta Junction, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-19T19:45:33.130Z,32.7348333,-115.4153333,13.27,2.08,ml,33,95,0.07512,0.22,ci,ci38253098,2019-11-19T21:06:11.076Z,"9km SSW of Holtville, CA",earthquake,0.3,0.5,0.142,35,reviewed,ci,ci
2019-11-19T19:44:19.441Z,65.2409,-148.2734,5.3,0.7,ml,,,,0.45,ak,ak019eui5sza,2019-11-26T02:51:58.110Z,"45km NNW of Ester, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-19T19:37:57.350Z,58.2953333,-154.961,1.26,-0.27,ml,5,225,0.05398,0.06,av,av70858379,2019-11-20T02:51:13.520Z,"102km NW of Larsen Bay, Alaska",earthquake,1.73,1.15,0.381,5,reviewed,av,av
2019-11-19T19:37:02.040Z,39.7686667,-121.9863333,20.31,2.79,ml,28,70,0.3098,0.11,nc,nc73306346,2019-11-20T17:54:27.215Z,"4km NE of Hamilton City, CA",earthquake,0.28,0.9,0.264,25,reviewed,nc,nc
2019-11-19T19:35:12.759Z,35.861,-96.68966667,7.29,2.29,ml,70,73,0,0.18,ok,ok2019wrut,2019-11-19T19:43:40.829Z,"12km NNW of Stroud, Oklahoma",earthquake,,0.4,0.23,17,reviewed,ok,ok
2019-11-19T19:34:20.830Z,33.3816667,-116.3941667,12.61,1.23,ml,53,52,0.05928,0.18,ci,ci38253058,2019-11-20T16:57:03.390Z,"14km N of Borrego Springs, CA",earthquake,0.18,0.45,0.126,25,reviewed,ci,ci
2019-11-19T19:33:15.180Z,31.6296667,-117.091,12.5,2.49,ml,12,264,0.4341,0.16,ci,ci38253074,2019-11-20T18:50:13.773Z,"49km SW of El Sauzal, B.C., MX",earthquake,0.6,1.02,0.061,10,reviewed,ci,ci
2019-11-19T19:25:02.196Z,51.2134,179.6711,35,2.9,ml,,223,0.284,0.33,us,us70006d0b,2020-02-14T22:02:21.040Z,"82km S of Semisopochnoi Island, Alaska",earthquake,4.7,2,0.105,12,reviewed,us,us
2019-11-19T19:21:55.256Z,67.5586,-165.5902,28.7,1.9,ml,,,,0.47,ak,ak019eui0y47,2019-11-26T02:51:57.364Z,"100km SSE of Point Hope, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2019-11-19T19:16:27.624Z,37.0472,-116.1928,9.2,-0.3,ml,11,77.69,0.044,0.1144,nn,nn00711045,2019-11-20T02:08:00.051Z,"52km ENE of Beatty, Nevada",earthquake,,2,0.48,3,reviewed,nn,nn
2019-11-19T19:14:10.298Z,62.0566,-149.8077,58.5,1.4,ml,,,,0.67,ak,ak019euhzcth,2019-11-26T02:52:17.556Z,"11km S of Y, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-11-19T19:13:23.085Z,-38.1766,-93.9488,10,4.4,mb,,161,21.724,0.63,us,us70006dp8,2020-02-14T22:02:23.040Z,"West Chile Rise",earthquake,8.7,1.9,0.134,19,reviewed,us,us
2019-11-19T19:09:13.835Z,67.1213,-141.9414,3.1,1.1,ml,,,,0.25,ak,ak019euhyaif,2019-11-26T02:52:16.826Z,"103km WSW of Old Crow, Canada",earthquake,,0.1,,,reviewed,ak,ak
2019-11-19T19:08:56.990Z,37.3238333,-122.1046667,-0.33,1.15,md,7,194,0.01398,0.04,nc,nc73306336,2019-11-20T01:27:19.479Z,"3km S of Loyola, CA",quarry blast,1.03,31.61,0.426,6,reviewed,nc,nc
2019-11-19T19:06:16.530Z,38.8180008,-122.8141632,2.56,0.81,md,14,54,0.006262,0.03,nc,nc73306331,2019-11-19T19:24:03.796Z,"7km NW of The Geysers, CA",earthquake,0.36,0.78,0.06,3,automatic,nc,nc
2019-11-19T19:02:58.271Z,66.3076,-157.2266,7.7,1.3,ml,,,,0.34,ak,ak019euhwvxf,2019-11-26T02:52:16.058Z,"68km SSW of Kobuk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-19T18:49:33.640Z,35.3668333,-117.8976667,7.76,0.99,ml,18,87,0.1079,0.19,ci,ci38252954,2019-11-20T14:32:56.661Z,"24km W of Johannesburg, CA",earthquake,0.38,1.97,0.069,16,reviewed,ci,ci
2019-11-19T18:40:17.388Z,66.3141,-157.1997,7.4,1.4,ml,,,,0.33,ak,ak019euhjidm,2019-11-26T02:52:15.347Z,"67km SSW of Kobuk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-19T18:39:33.466Z,66.3161,-157.2005,5.7,1.6,ml,,,,0.5,ak,ak019euhjbz0,2019-11-26T02:51:55.801Z,"67km SSW of Kobuk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-19T18:37:06.125Z,60.84,-148.2605,27.9,1.7,ml,,,,0.36,ak,ak019euhiq9a,2019-11-26T02:51:55.030Z,"24km ENE of Whittier, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-19T18:35:32.928Z,36.609,-116.509,2.1,0.8,ml,16,121.89,0.137,0.1197,nn,nn00711044,2019-11-20T02:07:58.896Z,"40km SE of Beatty, Nevada",earthquake,,8.6,0.24,8,reviewed,nn,nn
2019-11-19T18:32:09.700Z,66.301,-157.2639,2.1,1.7,ml,,,,0.47,ak,ak019euhhs22,2019-11-26T02:52:14.611Z,"69km SSW of Kobuk, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-19T18:29:24.350Z,37.6683333,-118.8955,1.59,1.11,md,12,192,0.01555,0.05,nc,nc73306311,2019-11-20T01:55:02.020Z,"8km ENE of Mammoth Lakes, CA",earthquake,0.58,31.61,0.183,11,reviewed,nc,nc
2019-11-19T18:23:01.582Z,27.0883,57.8242,10,4,mb,,97,2.584,1.42,us,us70006dp0,2020-02-14T22:02:23.040Z,"74km E of Minab, Iran",earthquake,8.3,1.9,0.119,24,reviewed,us,us
2019-11-19T18:22:19.010Z,37.6458333,-118.9541667,4.34,0.52,md,15,76,0.02318,0.04,nc,nc73306306,2019-11-21T23:08:04.547Z,"2km ENE of Mammoth Lakes, CA",earthquake,0.45,0.48,0.212,14,reviewed,nc,nc
2019-11-19T18:18:57.460Z,-23.7797,-175.8885,10,4.6,mb,,97,5.741,0.98,us,us70006dny,2020-02-14T22:02:23.040Z,"287km SSW of `Ohonua, Tonga",earthquake,10.4,1.9,0.103,31,reviewed,us,us
2019-11-19T18:11:52.590Z,38.8255005,-122.856163,2.39,0.58,md,9,73,0.002116,0.01,nc,nc73306301,2019-11-19T18:31:03.464Z,"10km WNW of The Geysers, CA",earthquake,0.42,1.39,,1,automatic,nc,nc
2019-11-19T18:09:13.490Z,35.962,-117.3433333,3.11,1.04,ml,14,104,0.08602,0.16,ci,ci38252898,2019-11-20T14:32:58.729Z,"22km N of Trona, CA",earthquake,0.41,0.96,0.166,7,reviewed,ci,ci
2019-11-19T18:02:57.381Z,53.1917,-160.5951,10,3.4,ml,,262,1.746,0.84,us,us70006d0c,2020-02-14T22:02:21.040Z,"190km SSW of Chernabura Island, Alaska",earthquake,3.7,2,0.085,18,reviewed,us,us
2019-11-19T18:02:25.108Z,60.419,-147.7735,4.5,1.6,ml,,,,0.34,ak,ak019euhbdri,2019-11-26T02:52:13.872Z,"63km SE of Whittier, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-19T18:00:30.680Z,33.7141667,-117.339,-0.5,1.27,ml,26,55,0.04063,0.19,ci,ci38252890,2019-11-19T22:48:44.363Z,"5km NNW of Lake Elsinore, CA",quarry blast,0.37,31.61,0.156,42,reviewed,ci,ci
2019-11-19T17:52:36.350Z,35.8625,-117.6706667,9.46,1,ml,11,91,0.07557,0.15,ci,ci38252874,2019-11-19T17:56:39.517Z,"23km ESE of Little Lake, CA",earthquake,0.43,0.88,0.191,5,automatic,ci,ci
2019-11-19T17:50:18.711Z,66.2296,-157.1602,5.2,1.3,ml,,,,0.43,ak,ak019euh081b,2019-11-26T02:52:13.121Z,"76km S of Kobuk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-19T17:47:35.300Z,47.751,-112.9973333,6.07,1.38,ml,13,228,0.611,0.16,mb,mb80372674,2019-11-20T15:27:51.000Z,"61km W of Choteau, Montana",earthquake,1.46,2.03,0.412,2,reviewed,mb,mb
2019-11-19T17:39:49.920Z,18.1483,-67.0863,5,1.89,md,3,171,0.0274,0.08,pr,pr2019323016,2019-11-19T19:02:21.744Z,"4km ENE of Hormigueros, Puerto Rico",earthquake,1.17,0.92,0.14,3,reviewed,pr,pr
2019-11-19T17:35:53.260Z,66.2259,-152.7785,11.1,1.1,ml,,,,0.45,ak,ak019eugx2ym,2019-11-26T02:52:12.387Z,"35km S of New Allakaket, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-19T17:34:46.754Z,-15.4746,-174.9935,10,4.5,mb,,156,3.479,1.21,us,us70006dnw,2020-02-14T22:02:23.040Z,"143km WNW of Hihifo, Tonga",earthquake,20,2,0.181,9,reviewed,us,us
2019-11-19T17:32:40.358Z,64.0137,-147.3865,7.7,1.4,ml,,,,0.52,ak,ak019eugweuo,2019-11-26T02:51:53.348Z,"61km SSW of Salcha, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-19T17:29:31.046Z,66.3076,-157.2097,11.6,1.2,ml,,,,0.46,ak,ak019eugvqy8,2019-11-26T02:52:11.653Z,"68km SSW of Kobuk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-19T17:25:23.121Z,38.4164,-118.3455,5,0.2,ml,5,109.69,0.02,0.1095,nn,nn00711073,2019-11-20T02:08:22.384Z,"27km ESE of Hawthorne, Nevada",earthquake,,3.1,0.07,2,reviewed,nn,nn
2019-11-19T17:24:19.940Z,38.7663345,-122.7170029,1.52,1.04,md,12,110,0.01398,0.08,nc,nc73306286,2019-11-19T17:34:04.024Z,"2km WSW of Anderson Springs, CA",earthquake,0.42,0.47,0.1,6,automatic,nc,nc
