time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-30T23:48:34.430Z,33.4881667,-116.7918333,4.38,1.21,ml,45,36,0.02517,0.19,ci,ci37842271,2017-12-31T17:16:35.720Z,"8km NE of Aguanga, CA",earthquake,0.2,0.43,0.187,26,reviewed,ci,ci
2017-12-30T23:46:11.940Z,37.2734,-104.8631,4,4,mwr,,31,0.164,0.51,us,us1000byd4,2019-02-04T23:37:45.802Z,"34km WNW of Trinidad, Colorado",earthquake,4.4,2,0.045,47,reviewed,us,us
2017-12-30T23:40:46.070Z,67.2186,-153.3561,10.5,1,ml,,,,0.44,ak,ak017gqdjyv3,2019-06-19T19:50:57.754Z,"81km NNW of New Allakaket, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2017-12-30T23:36:04.120Z,34.3153333,-116.8423333,1.44,1.08,ml,36,48,0.03485,0.16,ci,ci37842255,2018-01-10T00:53:46.686Z,"6km N of Big Bear City, CA",earthquake,0.18,0.3,0.147,18,reviewed,ci,ci
2017-12-30T23:24:05.260Z,39.4604,72.9721,21.53,4.6,mb,,58,1.764,0.88,us,us1000byd0,2018-03-17T01:54:40.040Z,"38km SW of Sary-Tash, Kyrgyzstan",earthquake,4.1,3.8,0.071,59,reviewed,us,us
2017-12-30T23:23:41.336Z,65.3007,-162.5924,10.1,1.4,ml,,,,0.54,ak,ak017gqdgbbp,2019-06-19T19:50:56.768Z,"160km NE of Nome, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2017-12-30T23:22:46.650Z,33.4956667,-116.4011667,8.14,0.61,ml,22,123,0.03443,0.21,ci,ci37842247,2017-12-31T17:15:34.246Z,"20km SSW of La Quinta, CA",earthquake,0.41,0.86,0.144,15,reviewed,ci,ci
2017-12-30T23:15:34.120Z,38.8331667,-122.79,1.88,0.97,md,37,43,0.005242,0.07,nc,nc72946411,2018-01-06T08:33:03.934Z,"6km WNW of Cobb, CA",earthquake,0.16,0.23,0.124,11,reviewed,nc,nc
2017-12-30T23:15:32.670Z,33.489,-116.7913333,4.94,0.09,ml,14,187,0.0245,0.09,ci,ci37842239,2018-01-02T23:20:28.040Z,"8km NE of Aguanga, CA",earthquake,0.28,0.44,0.109,9,reviewed,ci,ci
2017-12-30T23:03:42.400Z,36.0458333,-120.611,4.71,0.84,md,24,94,0.02588,0.06,nc,nc72946401,2018-01-02T17:11:01.881Z,"23km NW of Parkfield, CA",earthquake,0.29,0.47,0.266,11,reviewed,nc,nc
2017-12-30T23:02:43.680Z,37.4371667,-118.6028333,10.99,0.96,md,13,107,0.08958,0.05,nc,nc72946406,2018-01-02T18:35:45.449Z,"2km N of Round Valley, CA",earthquake,0.39,1.22,0.369,13,reviewed,nc,nc
