time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-07-30T23:59:03.930Z,33.4518333,-116.4618333,8.86,1.58,ml,58,52,0.0775,0.19,ci,ci37643920,2016-08-01T14:06:33.170Z,"23km ESE of Anza, CA",earthquake,0.21,0.49,0.186,26,reviewed,ci,ci
2016-07-30T23:55:07.000Z,18.2901,-67.2356,6,2,Md,10,136.8,0.21200241,0.36,pr,pr16212011,2016-07-31T05:17:42.520Z,"Mona Passage, Puerto Rico",earthquake,0.5,1.2,0,7,reviewed,pr,pr
2016-07-30T23:50:15.285Z,39.1286,-118.0966,11.8,-0.5,ml,3,171.93,0.081,0.0132,nn,nn00570140,2018-07-02T17:59:45.043Z,"Nevada",earthquake,,4.6,0.12,2,reviewed,nn,nn
2016-07-30T23:42:39.460Z,64.9796,-147.3449,0.5,1.2,ml,,,,0.59,ak,ak0169qzvmq2,2019-05-21T08:39:09.571Z,"21km NNE of Badger, Alaska",explosion,,6.5,,,reviewed,ak,ak
2016-07-30T23:27:56.000Z,18.2593,-66.1386,19,2.2,Md,14,104.4,0.07186522,0.1,pr,pr16212010,2016-07-31T04:43:33.918Z,"Puerto Rico",earthquake,0.3,0.2,0,9,reviewed,pr,pr
2016-07-30T23:26:26.400Z,18.6072,-64.657,11,1.8,Md,4,280.8,0.19313779,0.02,pr,pr16212009,2016-07-31T04:12:05.640Z,"Virgin Islands region",earthquake,0.7,1.1,0,4,reviewed,pr,pr
2016-07-30T23:22:48.400Z,36.9365,-121.4183333,5.76,0.54,md,12,86,0.04775,0.04,nc,nc71104904,2017-02-10T19:04:47.225Z,"9km N of Hollister, California",earthquake,0.34,0.59,0.124,8,reviewed,nc,nc
2016-07-30T23:06:46.690Z,18.5756,145.8055,186.01,4.3,mb,,124,3.316,0.73,us,us100069vc,2016-10-19T04:51:54.040Z,"25km SE of Agrihan, Northern Mariana Islands",earthquake,9.9,8.6,0.09,35,reviewed,us,us
2016-07-30T22:58:39.689Z,66.5575,-147.2802,11.7,0.8,ml,,,,0.75,ak,ak0169qzdmlc,2019-06-17T15:28:26.200Z,"89km W of Fort Yukon, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2016-07-30T22:57:02.580Z,41.558,-122.2201667,-1.45,0.87,md,6,105,0.06847,0.17,nc,nc72670600,2017-02-10T19:04:35.601Z,"20km NE of Weed, California",earthquake,0.31,0.61,0.078,6,reviewed,nc,nc
2016-07-30T22:53:16.900Z,53.391,-165.9276,23.7,2.2,ml,,,,0.34,ak,ak0169qzci96,2019-06-17T15:28:25.782Z,"67km SE of Unalaska, Alaska",earthquake,,2.7,,,reviewed,ak,ak
2016-07-30T22:49:15.430Z,34.2931667,-117.0035,2.48,1.22,ml,42,50,0.07512,0.22,ci,ci37643856,2016-08-01T14:05:53.885Z,"10km WNW of Big Bear Lake, CA",earthquake,0.35,0.75,0.127,28,reviewed,ci,ci
2016-07-30T22:48:21.740Z,37.5453333,-118.8821667,-0.42,0.23,md,7,277,0.06126,0.12,nc,nc72669426,2017-02-10T19:04:22.249Z,"13km SE of Mammoth Lakes, California",earthquake,2.54,3.61,0.097,6,reviewed,nc,nc
2016-07-30T22:42:09.100Z,2.0141,96.7462,27.62,5,mb,,151,1.088,0.58,us,us100068w2,2016-10-19T04:51:54.040Z,"65km SE of Sinabang, Indonesia",earthquake,7.8,3,0.053,114,reviewed,us,us
2016-07-30T22:35:23.840Z,37.5555,-118.8463333,4.62,0.34,md,5,295,0.03694,0.02,nc,nc72669411,2017-02-10T19:04:11.656Z,"15km SE of Mammoth Lakes, California",earthquake,2.83,1.64,0.161,5,reviewed,nc,nc
2016-07-30T22:34:45.150Z,38.8123333,-122.8215,2.35,0.68,md,33,87,0.007207,0.05,nc,nc72669406,2017-02-10T19:04:00.820Z,"6km NW of The Geysers, California",earthquake,0.15,0.23,0.234,5,reviewed,nc,nc
2016-07-30T22:31:20.890Z,19.4134998,-155.2788391,11.27,1.93,md,24,45,,0.25,hv,hv61358331,2020-08-26T21:12:23.150Z,"5 km SW of Volcano, Hawaii",earthquake,0.47,0.53,0.32,6,reviewed,hv,hv
2016-07-30T22:29:27.720Z,34.311,-117.0095,5.85,0.87,ml,16,62,0.1498,0.1,ci,ci37643824,2016-08-02T00:44:36.817Z,"12km NW of Big Bear Lake, CA",earthquake,0.2,1.07,0.144,12,reviewed,ci,ci
2016-07-30T22:28:22.850Z,34.309,-117.0126667,1.42,1.21,ml,32,60,0.1524,0.17,ci,ci37643816,2016-08-01T14:07:41.200Z,"12km NW of Big Bear Lake, CA",earthquake,0.25,0.78,0.172,32,reviewed,ci,ci
2016-07-30T22:28:19.740Z,18.5932,145.6474,208.38,4.9,mb,,76,3.336,0.63,us,us100068vz,2016-10-19T04:51:53.040Z,"19km S of Agrihan, Northern Mariana Islands",earthquake,9.2,6.6,0.042,180,reviewed,us,us
2016-07-30T22:27:31.000Z,37.531,-118.8853333,1.09,1.35,md,29,101,0.07387,0.05,nc,nc72669396,2017-02-10T19:03:50.251Z,"15km SSE of Mammoth Lakes, California",earthquake,0.16,0.95,0.16,23,reviewed,nc,nc
2016-07-30T22:12:36.590Z,59.2354,-137.2305,14,1.8,ml,,,,0.84,ak,ak0169qz3rez,2019-06-17T15:28:25.264Z,"101km W of Haines, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2016-07-30T22:09:29.405Z,65.2157,-148.2247,14.3,0.8,ml,,,,0.62,ak,ak0169qz33po,2019-06-17T15:28:24.817Z,"42km NNW of Ester, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2016-07-30T22:02:55.580Z,19.4055,-155.2781667,0,1.91,ml,21,37,,0.08,hv,hv61358301,2020-07-06T20:58:44.550Z,"6 km SW of Volcano, Hawaii",earthquake,0.14,0.14,0.125,7,reviewed,hv,hv
2016-07-30T22:02:12.660Z,26.0421,129.2523,21.7,4.3,mb,,77,1.181,1.29,us,us100069v8,2016-10-19T04:51:53.040Z,"141km ESE of Nago, Japan",earthquake,5,6.4,0.188,8,reviewed,us,us
2016-07-30T21:58:15.936Z,37.2967,-117.7297,6.5,0.4,ml,6,170.08,0.092,0.1615,nn,nn00553919,2018-07-02T17:59:44.551Z,"51km ENE of Big Pine, California",earthquake,,2.5,0.39,5,reviewed,nn,nn
2016-07-30T21:57:43.970Z,18.7597,145.8903,206.15,4,mb,,158,3.5,0.69,us,us100069v7,2016-10-19T04:51:53.040Z,"23km E of Agrihan, Northern Mariana Islands",earthquake,8.7,9.3,0.156,11,reviewed,us,us
