time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-19T23:56:55.690Z,-30.7204,-177.4111,10,4.7,mb,,164,1.537,1.06,us,us200065fc,2016-08-27T02:15:30.040Z,"162km ENE of L'Esperance Rock, New Zealand",earthquake,8.5,1.9,0.1,30,reviewed,us,us
2016-06-19T23:54:41.856Z,51.5276,-175.5346,21.4,1.2,ml,,,,0.13,ak,ak0167v6wz95,2019-06-17T14:56:45.776Z,"87km ESE of Adak, Alaska",earthquake,,5.6,,,reviewed,ak,ak
2016-06-19T23:51:57.800Z,-21.3348,-68.756,112.99,4.2,mb,,44,0.644,0.8,us,us200065f9,2016-08-27T02:15:30.040Z,"126km N of Calama, Chile",earthquake,5.5,7.9,0.2,7,reviewed,us,us
2016-06-19T23:50:38.600Z,61.0564,-151.9402,86,1.6,ml,,,,0.43,ak,ak0167v6w450,2019-06-17T14:56:45.380Z,"53km NW of Nikiski, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2016-06-19T23:42:41.620Z,33.2335,-116.7588333,6.15,0.98,ml,35,83,0.002474,0.17,ci,ci37392559,2016-06-20T19:27:35.563Z,"1km SSE of Lake Henshaw, CA",earthquake,0.22,0.4,0.095,30,reviewed,ci,ci
2016-06-19T23:38:53.300Z,66.078,-147.5621,17,0.8,ml,,,,0.75,ak,ak0167v6tkoi,2019-06-17T14:56:44.657Z,"116km WSW of Fort Yukon, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2016-06-19T23:33:51.610Z,-4.8816,152.2956,57.24,4.6,mb,,70,0.631,0.47,us,us200066hh,2016-08-27T02:15:30.040Z,"58km S of Kokopo, Papua New Guinea",earthquake,12.5,6.8,0.151,13,reviewed,us,us
2016-06-19T23:30:45.900Z,19.482,-65.23,70,3.4,Md,11,284.4,1.15433514,0.31,pr,pr16171012,2016-08-27T02:15:30.040Z,"130km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.6,10.6,0,6,reviewed,pr,pr
2016-06-19T23:21:34.250Z,33.5105,-116.4488333,7.71,0.31,ml,16,103,0.02322,0.12,ci,ci37392543,2016-06-20T19:34:06.506Z,"21km SW of La Quinta, CA",earthquake,0.26,0.52,0.262,8,reviewed,ci,ci
2016-06-19T23:13:44.580Z,-5.6474,-11.5699,10,5.4,mwb,,19,3.582,0.62,us,us200065f4,2016-11-10T22:16:42.315Z,"Ascension Island region",earthquake,8.5,1.8,0.065,23,reviewed,us,us
2016-06-19T23:12:48.218Z,64.9772,-147.3449,0,1.3,ml,,,,0.35,ak,ak0167v6nzo5,2019-06-17T14:56:44.177Z,"21km NNE of Badger, Alaska",explosion,,0,,,reviewed,ak,ak
2016-06-19T23:08:52.920Z,33.51,-116.4491667,6.92,0.85,ml,31,76,0.02373,0.2,ci,ci37392527,2016-06-20T13:46:08.005Z,"21km SW of La Quinta, CA",earthquake,0.29,0.62,0.183,26,reviewed,ci,ci
2016-06-19T23:07:16.800Z,46.4261,-75.5901,18,3.3,mb_lg,,,,1.19,us,us20006f4x,2016-08-27T02:15:30.040Z,"15km SSW of Mont-Laurier, Canada",earthquake,1.9,5.7,,,reviewed,ott,ott
2016-06-19T23:01:17.575Z,62.1605,-149.6169,47.1,1.2,ml,,,,0.61,ak,ak0167v6lkfh,2019-06-17T14:56:43.721Z,"12km E of Y, Alaska",earthquake,,1,,,reviewed,ak,ak
2016-06-19T22:55:42.329Z,40.0089,-120.5796,9.7,-0.1,ml,4,186.83,0.072,0.0325,nn,nn00548617,2018-07-02T17:57:15.996Z,"23km NNW of Portola, California",earthquake,,4,0,1,reviewed,nn,nn
2016-06-19T22:53:14.221Z,52.0205,-175.0847,73.3,1.7,ml,,,,0.18,ak,ak0167v6b9su,2019-06-17T14:56:43.241Z,"63km WSW of Atka, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2016-06-19T22:52:23.030Z,-5.6116,-11.5841,10,4.8,mb,,45,3.594,0.57,us,us200065f3,2016-08-27T02:15:30.040Z,"Ascension Island region",earthquake,5.4,1.9,0.105,28,reviewed,us,us
2016-06-19T22:50:15.880Z,38.2311667,-122.3486667,6.49,0.75,md,12,85,0.01532,0.1,nc,nc72653191,2017-02-10T14:40:24.090Z,"9km SW of Napa, California",earthquake,0.27,0.56,0.083,7,reviewed,nc,nc
2016-06-19T22:46:53.919Z,64.8007,-147.5373,5.9,0.2,ml,,,,0.22,ak,ak0167v69uun,2019-06-17T14:56:41.788Z,"0km WNW of Badger, Alaska",earthquake,,0.4,,,reviewed,ak,ak
