time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-19T23:56:27.830Z,18.2078,-67.0526,22,1.97,md,6,199,0.0462,0.27,pr,pr2018323022,2018-11-20T03:33:47.308Z,"8km WNW of Maricao, Puerto Rico",earthquake,1.6,2.009,0.24,5,reviewed,pr,pr
2018-11-19T23:55:46.660Z,36.4123333,-116.8766667,4.26,0.81,ml,11,111,0.05565,0.19,ci,ci38138439,2018-11-21T21:36:54.348Z,"5km SSW of Furnace Creek, CA",earthquake,0.51,0.7,0.021,4,reviewed,ci,ci
2018-11-19T23:51:40.270Z,37.4523333,-118.5425,5.55,0.43,md,9,104,0.09328,0.04,nc,nc73112996,2018-11-20T03:01:35.782Z,"6km NE of Round Valley, CA",earthquake,0.5,1.45,0.193,7,reviewed,nc,nc
2018-11-19T23:51:18.840Z,32.215,-115.2321667,19.65,3.26,ml,27,165,0.213,0.32,ci,ci38138431,2019-02-02T20:02:27.040Z,"6km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.86,1.12,0.204,127,reviewed,ci,ci
2018-11-19T23:51:01.970Z,54.2787,168.7442,10,4.2,mb,,149,3.554,0.75,us,us1000hx0z,2019-02-02T20:02:31.040Z,"204km ESE of Nikol'skoye, Russia",earthquake,9.7,2,0.061,74,reviewed,us,us
2018-11-19T23:51:00.073Z,65.0059,-150.6852,19,0.3,ml,,,,0.69,ak,ak018eukkzxz,2019-07-01T19:22:32.323Z,"2km WNW of Manley Hot Springs, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2018-11-19T23:49:45.640Z,18.9526,-64.5381,44,3.11,md,4,350,1.5411,0.14,pr,pr2018323021,2019-02-02T20:02:25.040Z,"46km SE of Road Town, British Virgin Islands",earthquake,4.92,13.57,0.21,2,reviewed,pr,pr
2018-11-19T23:49:15.230Z,32.2073333,-115.226,18.63,3.51,ml,28,167,0.2219,0.37,ci,ci38138415,2019-02-02T20:02:27.040Z,"6km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.89,1.37,0.216,226,reviewed,ci,ci
2018-11-19T23:47:48.850Z,18.0936,-68.2053,96,3.02,md,4,206,1.0991,0.59,pr,pr2018323020,2019-02-02T20:02:25.040Z,"46km ESE of Boca de Yuma, Dominican Republic",earthquake,6.74,5.73,0.14,4,reviewed,pr,pr
2018-11-19T23:43:58.080Z,19.8098333,-155.5715,-2.2,1.38,md,20,129,0.06382,0.17,hv,hv70696906,2018-11-20T00:48:45.220Z,"25km SSE of Waimea, Hawaii",earthquake,0.56,0.25,0.063,10,reviewed,hv,hv
2018-11-19T23:37:54.440Z,45.8663333,-111.3646667,10.32,1.9,ml,18,88,0.303,0.18,mb,mb80325189,2018-11-19T23:49:43.940Z,"2km WNW of Manhattan, Montana",earthquake,0.43,1.32,0.045,8,reviewed,mb,mb
2018-11-19T23:33:34.820Z,44.2976667,-114.9615,3.56,1.56,ml,9,111,0.668,0.33,mb,mb80325179,2018-11-19T23:55:17.430Z,"62km WSW of Challis, Idaho",earthquake,0.84,3.83,0.193,8,reviewed,mb,mb
2018-11-19T23:30:13.050Z,33.5123333,-116.4851667,15.45,0.85,ml,31,89,0.05089,0.13,ci,ci38138391,2018-11-20T21:17:08.750Z,"18km ESE of Anza, CA",earthquake,0.24,0.4,0.182,12,reviewed,ci,ci
2018-11-19T23:19:09.630Z,38.8106667,-122.8218333,1.79,1.08,md,18,79,0.006013,0.05,nc,nc73112981,2018-11-21T08:08:02.911Z,"7km WNW of The Geysers, CA",earthquake,0.21,0.27,,1,reviewed,nc,nc
2018-11-19T23:07:10.850Z,30.9008,139.1172,387.66,4.1,mb,,95,2.283,1,us,us1000hx0y,2019-02-02T20:02:31.040Z,"250km SSW of Hachijo-jima, Japan",earthquake,9.4,8.3,0.109,23,reviewed,us,us
2018-11-19T23:04:44.550Z,58.4771,-137.2014,0,2.2,ml,,,,1.34,ak,ak018eukb0pz,2019-07-01T19:22:31.986Z,"104km W of Gustavus, Alaska",ice quake,,0,,,reviewed,ak,ak
2018-11-19T23:02:59.440Z,53.8738333,-166.8976667,4.17,0.27,ml,4,159,0.07054,0.12,av,av70812454,2019-03-07T06:08:26.450Z,"23km W of Unalaska, Alaska",earthquake,0.6,1.88,0.167,4,reviewed,av,av
2018-11-19T22:42:09.137Z,38.6774,-117.0646,0,1.6,ml,10,158.29,0.181,0.4827,nn,nn00666288,2018-11-20T02:05:00.635Z,"69km NNE of Tonopah, Nevada",explosion,,0,0.44,5,reviewed,nn,nn
2018-11-19T22:37:44.010Z,34.612,46.0604,10,4.4,mb,,120,0.576,0.93,us,us1000hu66,2019-02-02T20:02:26.040Z,"24km NE of Sarpol-e Zahab, Iran",earthquake,5.4,1.8,0.083,42,reviewed,us,us
2018-11-19T22:35:38.600Z,38.7891655,-122.7613297,0.93,0.93,md,10,70,0.01874,0.02,nc,nc73112976,2018-11-19T22:52:02.710Z,"1km NNW of The Geysers, CA",earthquake,0.24,0.5,0.15,4,automatic,nc,nc
2018-11-19T22:35:22.217Z,63.2643,-151.1094,11.3,0.7,ml,,,,0.33,ak,ak018eujw6l9,2019-07-01T19:22:31.638Z,"109km W of Cantwell, Alaska",earthquake,,1,,,reviewed,ak,ak
2018-11-19T22:32:54.147Z,63.2137,-150.2162,5.3,1.2,ml,,,,0.66,ak,ak018eujvlwm,2019-07-01T19:22:31.264Z,"66km WSW of Cantwell, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2018-11-19T22:32:11.410Z,19.114,-67.4928,26,2.76,md,8,325,0.7507,0.34,pr,pr2018323018,2018-11-20T01:02:28.961Z,"80km NNW of San Antonio, Puerto Rico",earthquake,3.12,21.25,0.23,8,reviewed,pr,pr
2018-11-19T22:21:05.970Z,33.5201667,-116.7953333,2.88,0.32,ml,12,95,0.008834,0.16,ci,ci38138335,2018-11-20T01:51:49.645Z,"11km NE of Aguanga, CA",earthquake,0.37,1.36,0.083,8,reviewed,ci,ci
2018-11-19T22:14:27.326Z,67.8568,-136.7172,1.3,1.3,ml,,,,0.66,ak,ak018eujroy4,2019-07-01T19:22:30.922Z,"90km WNW of Fort McPherson, Canada",earthquake,,0.6,,,reviewed,ak,ak
2018-11-19T22:00:53.230Z,33.8721667,-117.5031667,-0.53,0.74,ml,25,70,0.0483,0.23,ci,ci38138303,2018-11-21T17:22:23.947Z,"2km ESE of Home Gardens, CA",quarry blast,0.51,31.61,0.113,7,reviewed,ci,ci
2018-11-19T21:55:37.870Z,36.8858333,-121.6038333,2.41,1.42,md,25,55,0.009614,0.07,nc,nc73112966,2018-11-21T01:32:03.692Z,"4km E of Aromas, CA",earthquake,0.2,0.3,0.165,23,reviewed,nc,nc
2018-11-19T21:50:45.870Z,33.5028333,-116.4901667,14.11,0.64,ml,17,195,0.05763,0.12,ci,ci38138295,2018-11-21T21:35:37.290Z,"18km ESE of Anza, CA",earthquake,0.41,0.44,0.216,6,reviewed,ci,ci
