time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-11-30T23:51:16.070Z,36.0376667,-117.7816667,0.352,0.85,ml,13,138,0.0182,0.14,ci,ci37065295,2016-03-12T00:47:56.349Z,"15km E of Coso Junction, CA",earthquake,0.47,0.62,0.277,5,reviewed,ci,ci
2014-11-30T23:38:07.520Z,19.4046667,-155.2788333,0.37,1.32,ml,18,50,,0.1,hv,hv60809566,2020-07-06T20:44:39.150Z,"6 km SW of Volcano, Hawaii",earthquake,0.14,0.19,0.086,3,reviewed,hv,hv
2014-11-30T23:37:33.990Z,-6.2601,147.7483,72.04,4.9,mb,,37,3.178,0.83,us,usb000t1gl,2015-02-24T00:35:14.040Z,"40km NNW of Finschhafen, Papua New Guinea",earthquake,7.2,6.9,0.074,60,reviewed,us,us
2014-11-30T23:22:00.210Z,4.2444,-71.446,15.54,4.3,mb,,104,2.927,1.12,us,usc000t6u5,2015-02-24T00:35:14.040Z,"61km SSW of Orocue, Colombia",earthquake,5.7,5.4,0.177,10,reviewed,us,us
2014-11-30T23:12:38.270Z,-11.6172,162.0625,18.79,4.1,mb,,140,3.002,0.82,us,usc000t6t1,2015-02-24T00:35:14.040Z,"129km S of Kirakira, Solomon Islands",earthquake,9,6.5,0.157,13,reviewed,us,us
2014-11-30T23:08:16.003Z,62.5604,-149.0251,54.1,1,ml,,,,0.36,ak,ak014fcr8mtc,2019-05-21T02:31:04.962Z,"61km NE of Y, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2014-11-30T23:05:20.701Z,62.9571,-149.1093,22.5,0.4,ml,,,,0.3,ak,ak014fcr8012,2019-05-21T02:31:04.637Z,"49km S of Cantwell, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2014-11-30T23:03:11.260Z,38.8370018,-122.802002,1.834,0.46,md,6,117,0.009009,0.01,nc,nc72358446,2017-02-05T07:52:37.578Z,"7km WNW of Cobb, California",earthquake,0.5,1.41,0.12,2,automatic,nc,nc
2014-11-30T22:59:56.100Z,44.9888,-111.8663,8.8,3.3,mc,65,35.9999971200002,0.2730878,0.18,mb,mb14382894,2014-12-02T18:24:10.158Z,"34km S of Virginia City, Montana",earthquake,0.3,0.6,0.5,3,automatic,mb,mb
2014-11-30T22:57:11.530Z,48.995,-125.1771667,4.593,1.5,md,10,84,0.1639,0.65,uw,uw60926142,2016-07-22T19:42:03.180Z,"28km ENE of Ucluelet, Canada",earthquake,1.96,54.58,0.122,2,reviewed,uw,uw
2014-11-30T22:53:05.510Z,-4.0295,-80.6975,30.5,4.2,mb,,134,4.796,0.72,us,usb000t1ip,2015-02-24T00:35:14.040Z,"6km NE of Papayal, Peru",earthquake,7.6,8,0.199,7,reviewed,us,us
