time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-09T23:57:25.181Z,62.8218,-150.8939,98.4,1.6,ml,,,,0.43,ak,ak016efos7qe,2019-06-17T20:22:08.187Z,"68km NW of Talkeetna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2016-11-09T23:45:56.790Z,-34.2104,-178.8856,10,4.1,mb,,262,6.183,0.39,us,us100078sj,2017-02-02T02:21:05.040Z,"South of the Kermadec Islands",earthquake,9.1,2,0.234,5,reviewed,us,us
2016-11-09T23:45:13.250Z,38.8248329,-122.8238297,0.62,0.56,md,6,97,0.009009,0.01,nc,nc72722820,2017-02-11T06:41:26.459Z,"Northern California",earthquake,0.5,1.75,,1,automatic,nc,nc
2016-11-09T23:44:57.580Z,-34.4155,-178.9728,10,4.2,mb,,208,3.837,0.23,us,us100078sf,2017-02-02T02:21:05.040Z,"South of the Kermadec Islands",earthquake,11.2,2,0.199,7,reviewed,us,us
2016-11-09T23:41:16.181Z,59.7972,-152.875,101.2,2,ml,,,,0.45,ak,ak016efoorky,2019-06-17T20:22:07.779Z,"58km W of Anchor Point, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2016-11-09T23:35:17.330Z,37.6551667,-118.8675,1.85,0.29,md,9,203,0.02523,0.04,nc,nc72722815,2017-02-11T06:41:21.545Z,"9km E of Mammoth Lakes, California",earthquake,0.67,0.81,0.047,6,reviewed,nc,nc
2016-11-09T23:30:04.908Z,62.9309,-151.3141,111.5,1.4,ml,,,,0.44,ak,ak016efomdu2,2019-06-17T20:22:07.328Z,"91km NW of Talkeetna, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2016-11-09T23:29:31.420Z,37.585,-113.355,10.1,1.17,md,7,151,0.03488,0.15,uu,uu60170202,2016-11-10T00:59:59.900Z,"27km WSW of Cedar City, Utah",earthquake,0.67,1.01,0.332,5,reviewed,uu,uu
2016-11-09T23:28:51.220Z,37.5285,-119.3566667,4.61,0.98,md,9,243,0.2072,0.14,nc,nc72722810,2017-02-11T06:41:16.691Z,"30km SE of Yosemite Valley, California",earthquake,1.03,11.25,0.135,8,reviewed,nc,nc
2016-11-09T23:22:55.190Z,-2.6146,139.9569,29.22,4.5,mb,,88,7.705,0.93,us,us100078se,2017-02-02T02:21:05.040Z,"69km W of Abepura, Indonesia",earthquake,11.4,4.8,0.15,13,reviewed,us,us
2016-11-09T23:11:01.757Z,65.4318,-144.7354,16.8,1.4,ml,,,,0.43,ak,ak016efoiazj,2019-06-17T20:22:06.885Z,"4km SSW of Circle Hot Springs Station, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2016-11-09T23:07:44.521Z,60.202,-152.4871,84,1.6,ml,,,,0.42,ak,ak016efohjf8,2019-06-17T20:22:06.402Z,"34km SSE of Redoubt Volcano, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2016-11-09T23:04:22.150Z,37.639,-118.9291667,5.65,0.61,md,16,72,0.02432,0.02,nc,nc72722800,2017-02-11T06:41:11.872Z,"3km ESE of Mammoth Lakes, California",earthquake,0.36,0.69,0.225,14,reviewed,nc,nc
2016-11-09T22:56:13.109Z,61.7181,-148.2039,4.3,1.1,ml,,,,0.52,ak,ak016efo6jha,2019-06-17T20:22:05.969Z,"35km ESE of Sutton-Alpine, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2016-11-09T22:47:22.690Z,35.9801667,-120.5481667,5.58,0.38,md,19,73,0.02342,0.04,nc,nc72722795,2017-02-11T06:41:06.715Z,"24km SW of Coalinga, California",earthquake,0.22,0.37,0.299,7,reviewed,nc,nc
2016-11-09T22:46:51.520Z,65.7129,-148.561,7.1,0.8,ml,,,,0.77,ak,ak016efo4ha8,2019-06-17T20:22:05.528Z,"99km NNW of Ester, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2016-11-09T22:46:47.392Z,61.2202,-151.9842,14.4,0.6,ml,,,,0.27,ak,ak016efo4gyr,2019-06-17T20:22:05.070Z,"70km NNW of Nikiski, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2016-11-09T22:36:48.695Z,39.6096,-120.6411,14.3,0.2,ml,8,189.77,0.155,0.1554,nn,nn00566021,2016-11-09T23:04:49.622Z,"16km ENE of Downieville, California",earthquake,,5.8,0.21,2,reviewed,nn,nn
2016-11-09T22:25:22.019Z,64.7333,-148.8883,19.1,0.6,ml,,,,0.43,ak,ak016efnzwyx,2019-06-17T20:22:04.598Z,"20km NNE of North Nenana, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2016-11-09T22:20:41.640Z,38.7262,142.1618,48.21,5,mww,,93,1.377,0.53,us,us100076kd,2017-02-02T02:21:05.040Z,"54km SE of Ofunato, Japan",earthquake,6.3,6.5,,,reviewed,us,us
2016-11-09T22:18:00.900Z,36.0079,-96.7742,4.156,2.7,ml,,59,,0.25,us,us100076k8,2017-02-02T02:21:05.040Z,"2km NNW of Cushing, Oklahoma",earthquake,1,2.5,,,reviewed,tul,tul
2016-11-09T22:14:42.736Z,38.0385,-118.5792,7.9,0.3,ml,6,145.47,0.039,0.065,nn,nn00566006,2018-07-02T18:06:31.202Z,"Nevada",earthquake,,4.2,0,1,reviewed,nn,nn
2016-11-09T22:14:30.190Z,-35.4999,-179.1833,10,4.3,mb,,261,2.884,0.81,us,us100078sb,2017-02-02T02:21:05.040Z,"East of the North Island of New Zealand",earthquake,7.4,2,0.188,8,reviewed,us,us
2016-11-09T22:12:01.020Z,64.4414,-147.176,6.5,0.5,ml,,,,0.35,ak,ak016efnx31i,2019-06-17T20:22:04.183Z,"16km SW of Salcha, Alaska",earthquake,,1.3,,,reviewed,ak,ak
2016-11-09T22:11:52.786Z,59.7349,-153.5619,116.1,2,ml,,,,0.65,ak,ak016efnwzbi,2019-05-14T14:57:30.353Z,"Southern Alaska",earthquake,,1.2,,,reviewed,ak,ak
2016-11-09T22:02:29.560Z,37.6386667,-118.9278333,6.07,1.2,md,22,59,0.02342,0.05,nc,nc72722790,2017-02-11T06:41:00.861Z,"4km ESE of Mammoth Lakes, California",earthquake,0.25,0.3,0.203,20,reviewed,nc,nc
2016-11-09T22:00:04.430Z,62.9505,-148.1699,64.8,2,ml,,,,0.43,ak,ak016efnuipn,2019-06-17T20:22:03.741Z,"62km SE of Cantwell, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2016-11-09T21:41:29.500Z,18.7999,-65.4509,5,2.3,Md,3,266.4,0.51383634,0.03,pr,pr16314006,2016-11-09T22:33:11.365Z,"54km NNE of Luquillo, Puerto Rico",earthquake,0.5,0.9,0,3,reviewed,pr,pr
2016-11-09T21:35:50.372Z,59.4411,-152.7167,69,2.1,ml,,,,0.41,ak,ak016efngopp,2019-06-17T20:22:03.324Z,"62km SW of Anchor Point, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2016-11-09T21:34:11.400Z,18.875,-65.4671,19,2.2,Md,6,241.2,0.59109146,0.18,pr,pr16314005,2016-11-09T22:20:55.233Z,"61km NNE of Luquillo, Puerto Rico",earthquake,1.4,3.6,0,2,reviewed,pr,pr
2016-11-09T21:32:51.000Z,18.8752,-65.4742,14,1.6,Md,3,273.6,0.59288809,0.02,pr,pr16314004,2016-11-09T22:12:19.439Z,"61km NNE of Luquillo, Puerto Rico",earthquake,0.6,0.8,0,3,reviewed,pr,pr
2016-11-09T21:32:39.640Z,-5.7697,152.4709,10,4,mb,,189,1.519,0.48,us,us100078s8,2017-02-02T02:21:05.040Z,"156km SSW of Taron, Papua New Guinea",earthquake,10.8,1.9,0.212,6,reviewed,us,us
