time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-30T23:57:23.510Z,47.7446667,-113.8005,1.45,-0.5,md,5,247,0.185,0.02,mb,mb80143519,2016-05-02T15:09:16.220Z,"27km ENE of Polson, Montana",earthquake,1.21,0.72,0.055,2,reviewed,mb,mb
2016-04-30T23:55:18.010Z,47.3546667,-113.8978333,9.66,-0.5,md,6,236,0.165,0.07,mb,mb80143524,2016-05-02T15:13:29.940Z,"24km SE of Ronan, Montana",earthquake,1.32,2.77,0.185,2,reviewed,mb,mb
2016-04-30T23:48:11.560Z,38.7961655,-122.80867,3.36,0.53,md,9,126,0.009009,0.01,nc,nc72629185,2017-02-10T09:51:28.637Z,"5km WNW of The Geysers, California",earthquake,0.54,1.37,0.02,2,automatic,nc,nc
2016-04-30T23:46:35.330Z,40.3855,-122.9345,11.39,1.78,md,6,133,0.08018,0.44,nc,nc72629190,2017-02-10T09:51:23.954Z,"28km SE of Hayfork, California",earthquake,2.7,3.11,,1,reviewed,nc,nc
2016-04-30T23:44:00.257Z,60.2419,-152.0264,73.5,1.6,ml,,,,0.36,ak,ak0165khze6x,2019-06-13T22:49:56.605Z,"42km WSW of Cohoe, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2016-04-30T23:39:17.970Z,37.637,-118.874,6.91,0.4,md,19,72,0.01982,0.03,nc,nc72629175,2017-02-10T09:51:19.611Z,"8km E of Mammoth Lakes, California",earthquake,0.5,0.64,0.081,13,reviewed,nc,nc
2016-04-30T23:36:26.897Z,37.5129,-113.9263,0,0.7,ml,6,130.65,0.075,0.2276,nn,nn00542431,2018-07-02T17:53:45.133Z,"19km WSW of Enterprise, Utah",earthquake,,22.9,0.2,3,reviewed,nn,nn
2016-04-30T23:28:38.907Z,51.4948,-177.3017,33.1,1.3,ml,,,,0.29,ak,ak0165khw1pu,2019-06-13T22:49:56.036Z,"61km SW of Adak, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2016-04-30T23:20:43.150Z,38.1366,74.6378,133.28,4.3,mb,,84,2.434,0.93,us,us10005cs6,2016-07-19T20:03:07.040Z,"58km E of Murghob, Tajikistan",earthquake,7.2,7.4,0.089,36,reviewed,us,us
2016-04-30T23:16:24.400Z,36.8608,-98.1514,6.464,3.2,ml,,93,,0.29,us,us10005cs4,2016-07-19T20:03:07.040Z,"21km ENE of Cherokee, Oklahoma",earthquake,2.3,6.1,,,reviewed,tul,tul
