time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-19T23:58:55.310Z,33.2233333,-116.7281667,12.15,0.95,ml,24,78,0.02858,0.14,ci,ci37571455,2017-02-08T20:42:33.974Z,"4km ESE of Lake Henshaw, CA",earthquake,0.26,0.48,0.097,14,reviewed,ci,ci
2017-01-19T23:55:13.429Z,61.4359,-152.3255,4.8,0.9,ml,,,,0.28,ak,ak017vt8dpq,2019-06-17T23:07:56.389Z,"100km NNW of Nikiski, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2017-01-19T23:52:50.800Z,37.6701667,-118.849,-0.73,-0.03,md,5,111,0.02827,0.02,nc,nc71105559,2017-01-20T16:56:22.278Z,"11km ENE of Mammoth Lakes, California",earthquake,1.23,1.5,0.142,4,reviewed,nc,nc
2017-01-19T23:52:46.960Z,34.8946667,-119.0741667,18.34,1.55,ml,14,120,0.1006,0.15,ci,ci37571447,2017-02-08T19:59:35.384Z,"9km NE of Pine Mountain Club, CA",earthquake,0.37,0.72,0.189,9,reviewed,ci,ci
2017-01-19T23:52:33.340Z,37.4855,-118.8163333,-0.44,0.49,md,9,329,0.1048,0.06,nc,nc72754145,2017-01-20T17:05:02.862Z,"22km SE of Mammoth Lakes, California",earthquake,5.01,6.33,0.089,8,reviewed,nc,nc
2017-01-19T23:52:07.810Z,-9.5501,162.08,70.99,4.4,mb,,175,2.106,1.07,us,us20008hcr,2017-04-12T02:29:02.040Z,"101km N of Kirakira, Solomon Islands",earthquake,13,14.2,0.178,9,reviewed,us,us
2017-01-19T23:48:07.278Z,63.2617,-151.9765,6.6,2.5,ml,,,,1.05,ak,ak017vt6v87,2019-06-17T23:07:55.977Z,"141km NW of Talkeetna, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-01-19T23:47:26.716Z,66.276,-149.519,6.9,1.4,ml,,,,0.59,ak,ak017vt6p0f,2019-05-21T10:23:20.184Z,"113km SSE of Coldfoot, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-01-19T23:44:21.990Z,47.6688333,-113.7025,2.89,0.2,md,5,253,0.256,0.11,mb,mb80197364,2017-01-20T20:38:14.970Z,"32km ENE of Pablo, Montana",earthquake,2.19,6.82,,0,reviewed,mb,mb
2017-01-19T23:32:49.220Z,37.4786667,-118.7865,4.45,2.12,md,37,124,0.1162,0.07,nc,nc72754140,2018-07-02T18:22:48.025Z,"24km SE of Mammoth Lakes, California",earthquake,0.26,1.3,0.226,33,reviewed,nc,nc
2017-01-19T23:30:31.370Z,-10.401,161.303,47.14,4.7,mb,,39,1.642,0.66,us,us20008hcu,2017-04-12T02:29:02.040Z,"67km W of Kirakira, Solomon Islands",earthquake,4.7,8.4,0.069,64,reviewed,us,us
2017-01-19T23:27:57.440Z,-10.4661,161.3026,58.18,4.7,mb,,72,1.68,0.96,us,us20008hcq,2017-04-12T02:29:02.040Z,"67km W of Kirakira, Solomon Islands",earthquake,11.2,6.4,0.072,59,reviewed,us,us
2017-01-19T23:17:19.460Z,-10.3747,161.3828,68.71,4.4,mb,,112,1.692,1.1,us,us20008hcy,2017-04-12T02:29:02.040Z,"59km W of Kirakira, Solomon Islands",earthquake,10,7.3,0.203,7,reviewed,us,us
2017-01-19T23:06:20.853Z,61.4359,-152.3131,5.4,0.9,ml,,,,0.28,ak,ak017vsxw79,2019-06-17T23:07:55.558Z,"99km NNW of Nikiski, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-01-19T23:05:35.234Z,63.4518,-147.0657,16.3,0.8,ml,,,,0.76,ak,ak017vsxplf,2019-06-17T23:07:55.100Z,"92km SW of Delta Junction, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-01-19T23:04:21.150Z,-10.3506,161.3355,36,6.5,mww,,21,1.64,0.85,us,us10007u7n,2020-07-10T15:22:15.858Z,"65km W of Kirakira, Solomon Islands",earthquake,6.6,1.8,,,reviewed,us,us
2017-01-19T22:55:50.007Z,62.7904,-151.0677,89.5,1.2,ml,,,,0.49,ak,ak017vsn0xk,2019-06-17T23:07:54.670Z,"71km NW of Talkeetna, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2017-01-19T22:55:12.760Z,44.9966667,-122.6763333,-0.29,1.7,ml,14,89,0.1969,0.47,uw,uw61229452,2017-01-19T23:22:18.680Z,"8km E of Silverton, Oregon",explosion,0.81,31.61,0.098,8,reviewed,uw,uw
2017-01-19T22:54:56.150Z,-8.1487,119.7368,179.93,4.9,mb,,42,2.521,1,us,us10007u7m,2017-04-12T02:29:02.040Z,"41km NNW of Waewaso, Indonesia",earthquake,7.2,5.6,0.06,88,reviewed,us,us
2017-01-19T22:49:05.100Z,33.5093333,-116.5476667,8.61,1.03,ml,28,73,0.04785,0.12,ci,ci37571423,2017-02-08T21:22:49.615Z,"13km ESE of Anza, CA",earthquake,0.19,0.34,0.103,22,reviewed,ci,ci
2017-01-19T22:48:56.640Z,38.4566,-118.323,11.6,0.7,ml,8,113.51,0.232,0.2063,nn,nn00574846,2018-07-02T18:22:54.362Z,"27km ESE of Hawthorne, Nevada",earthquake,,3.4,0.01,2,reviewed,nn,nn
