time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-05-09T23:56:49.020Z,33.5601667,-116.7533333,4.88,0.17,ml,10,179,0.01437,0.09,ci,ci15499801,2016-03-11T11:22:53.705Z,"7km W of Anza, CA",earthquake,0.5,0.72,0.116,7,reviewed,ci,ci
2014-05-09T23:55:19.220Z,33.5615,-116.7606667,5.561,0.97,ml,19,62,0.01989,0.11,ci,ci15499793,2016-03-11T22:40:13.718Z,"8km W of Anza, CA",earthquake,0.35,0.7,0.171,20,reviewed,ci,ci
2014-05-09T23:51:31.480Z,53.096,-166.838,25.5,3.4,ml,,,,0.34,us,usb000qvy7,2019-05-21T00:12:12.220Z,"88km SSW of Unalaska, Alaska",earthquake,,7.9,,,reviewed,ak,ak
2014-05-09T23:44:26.422Z,60.0091,-151.5394,57.5,1.3,ml,,,,0.57,ak,ak0145xqa85u,2019-05-21T00:12:11.769Z,"30km NNE of Anchor Point, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2014-05-09T23:44:17.033Z,61.5786,-148.3513,15.4,0.5,ml,,,,0.53,ak,ak0145xqa7fr,2019-05-14T03:21:32.638Z,"Southern Alaska",earthquake,,0.3,,,reviewed,ak,ak
2014-05-09T23:40:46.950Z,38.2745,-112.2685,4.87,1.92,ml,21,43,0.2419,0.29,uu,uu60068132,2018-09-12T18:24:29.940Z,"5km NW of Junction, Utah",earthquake,0.53,1.71,0.172,9,reviewed,uu,uu
2014-05-09T23:39:32.300Z,15.646,-95.974,10,4.1,md,,,,1.05,us,usc000rbfq,2014-08-06T00:55:29.000Z,"33km SSE of Santa Maria Xadani, Mexico",earthquake,,6.9,,18,reviewed,unm,unm
2014-05-09T23:39:29.220Z,19.4206667,-155.2828333,0.669,1.33,ml,14,98,,0.19,hv,hv60686846,2020-07-06T20:40:53.120Z,"5 km WSW of Volcano, Hawaii",earthquake,0.31,0.39,0.233,5,reviewed,hv,hv
2014-05-09T23:25:06.960Z,37.7885,-118.3181667,7.578,1.38,md,14,171,0.1009,0.05,nc,nc72215160,2017-02-03T19:02:26.695Z,"45km N of Dixon Lane-Meadow Creek, California",earthquake,0.48,1.55,0.204,14,reviewed,nc,nc
2014-05-09T23:19:14.086Z,60.0974,-153.1241,120,1.9,ml,,,,0.62,ak,ak0145xq4ub4,2019-05-21T00:12:11.344Z,"48km SSW of Redoubt Volcano, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2014-05-09T23:16:13.600Z,34.0455,-117.2283333,15.929,0.93,ml,15,95,0.1094,0.13,ci,ci15499785,2016-03-11T09:38:40.390Z,"3km E of Loma Linda, CA",earthquake,0.36,0.87,0.101,11,reviewed,ci,ci
2014-05-09T23:09:18.990Z,38.8321667,-122.806,0.279,-0.27,md,10,94,0.009009,0.02,nc,nc72215155,2017-02-03T19:02:20.537Z,"Northern California",earthquake,0.3,0.72,0.297,2,reviewed,nc,nc
2014-05-09T23:01:59.350Z,33.5606667,-116.7596667,5.061,0.39,ml,16,153,0.01926,0.08,ci,ci15499777,2016-03-11T16:53:40.744Z,"8km W of Anza, CA",earthquake,0.38,0.58,0.091,8,reviewed,ci,ci
2014-05-09T23:01:00.510Z,33.56,-116.761,4.821,0.67,ml,15,91,0.02051,0.07,ci,ci15499769,2016-03-11T02:22:41.765Z,"8km W of Anza, CA",earthquake,0.33,0.63,0.153,11,reviewed,ci,ci
2014-05-09T23:00:32.050Z,33.5591667,-116.7573333,4.981,0.65,ml,18,142,0.01785,0.08,ci,ci15499761,2016-03-11T15:02:04.804Z,"8km W of Anza, CA",earthquake,0.31,0.55,0.077,9,reviewed,ci,ci
2014-05-09T23:00:10.370Z,33.5605,-116.7606667,4.921,1.24,ml,22,60,0.02011,0.1,ci,ci15499753,2016-03-11T22:40:12.408Z,"8km W of Anza, CA",earthquake,0.26,0.69,0.131,24,reviewed,ci,ci
2014-05-09T22:59:57.751Z,57.5769,-153.9793,70.3,1.8,ml,,,,0.29,ak,ak0145xps2pr,2019-05-21T00:12:10.942Z,"4km N of Larsen Bay, Alaska",earthquake,,0.6,,,reviewed,ak,ak
