time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-07-19T23:56:44.860Z,35.0401667,-117.679,-0.82,1.51,ml,16,109,0.1065,0.13,ci,ci37418919,2016-07-20T00:33:29.748Z,"5km NNW of Boron, CA",quarry blast,0.46,31.61,0.128,35,reviewed,ci,ci
2016-07-19T23:54:15.175Z,61.6061,-150.3319,52.4,1.5,ml,,,,0.5,ak,ak01698t1c0d,2019-06-17T15:20:05.478Z,"22km WNW of Big Lake, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2016-07-19T23:52:52.840Z,0.3167,126.1871,52.22,4.1,mb,,62,1.263,1.3,us,us20006gt4,2016-09-17T01:27:51.040Z,"141km WSW of Kota Ternate, Indonesia",earthquake,8.4,10.4,0.139,14,reviewed,us,us
2016-07-19T23:52:51.280Z,19.3924999,-155.2798309,0.917,1.8,ml,20,54,,0.14,hv,hv61345986,2020-07-06T20:58:06.090Z,"7 km SW of Volcano, Hawaii",earthquake,0.18,0.2,0.11,4,automatic,hv,hv
2016-07-19T23:50:21.510Z,39.3201,142.261,41.55,5,mb,,125,1.731,1.48,us,us20006g0h,2016-09-17T01:27:51.040Z,"31km ESE of Yamada, Japan",earthquake,7.1,6.2,0.043,174,reviewed,us,us
2016-07-19T23:49:44.420Z,38.8230019,-122.7643356,1.44,0.23,md,5,136,0.009009,0,nc,nc72663591,2017-02-10T17:11:04.077Z,"Northern California",earthquake,0.55,1.14,0.16,2,automatic,nc,nc
2016-07-19T23:43:45.667Z,62.979,-150.6581,109.9,1.2,ml,,,,0.53,ak,ak01698sz1hi,2019-06-17T15:20:05.044Z,"78km NNW of Talkeetna, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2016-07-19T23:43:43.750Z,36.6938333,-121.324,3.9,2.27,md,54,39,0.04865,0.06,nc,nc72663586,2017-02-10T17:10:57.890Z,"13km SSE of Ridgemark, California",earthquake,0.11,0.45,0.197,62,reviewed,nc,nc
2016-07-19T23:39:30.250Z,38.828167,-122.7901688,1.77,,,5,151,0.01622,0.01,nc,nc72663581,2017-02-10T17:10:49.556Z,"Northern California",earthquake,1.07,1.33,,,automatic,nc,nc
2016-07-19T23:37:39.920Z,33.6811667,-116.7268333,15.05,0.61,ml,23,102,0.03173,0.1,ci,ci37418895,2016-07-20T00:26:40.197Z,"7km S of Idyllwild, CA",earthquake,0.23,0.34,0.166,14,reviewed,ci,ci
2016-07-19T23:36:29.512Z,60.1495,-153.3817,129.8,1.9,ml,,,,0.44,ak,ak01698sxi87,2019-06-17T15:20:04.575Z,"51km SW of Redoubt Volcano, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2016-07-19T23:35:15.110Z,34.1166667,-117.7323333,7.27,0.77,ml,11,108,0.0668,0.08,ci,ci37418887,2016-07-20T00:19:22.626Z,"2km NNW of Claremont, CA",earthquake,0.25,0.52,0.184,6,reviewed,ci,ci
2016-07-19T23:32:31.970Z,36.7008333,-121.342,3.15,0.73,md,10,120,0.06486,0.02,nc,nc72663576,2017-02-10T17:10:44.572Z,"12km S of Ridgemark, California",earthquake,0.4,1.66,0.114,9,reviewed,nc,nc
2016-07-19T23:26:42.820Z,38.8143349,-122.8221664,2.39,0.56,md,7,100,0.008108,0.01,nc,nc72663571,2017-02-10T17:10:39.645Z,"7km NW of The Geysers, California",earthquake,0.46,1.51,,1,automatic,nc,nc
2016-07-19T23:15:30.910Z,-56.3276,-26.8139,62.86,4.6,mb,,114,5.892,0.66,us,us20006gt2,2016-09-17T01:27:51.040Z,"47km NNE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,12.8,5.2,0.109,25,reviewed,us,us
2016-07-19T23:14:04.190Z,38.7623329,-122.7383347,0.78,0.58,md,6,141,0.01081,0.01,nc,nc72663566,2017-02-10T17:10:35.030Z,"Northern California",earthquake,0.4,0.66,0.08,3,automatic,nc,nc
2016-07-19T23:10:53.390Z,38.8091667,-122.8188333,3.01,1.05,md,37,83,0.008108,0.05,nc,nc72663561,2017-02-10T17:10:28.730Z,"6km WNW of The Geysers, California",earthquake,0.22,0.29,0.136,11,reviewed,nc,nc
2016-07-19T23:09:32.980Z,64.9893,-147.3367,0,1.3,ml,,,,0.6,ak,ak01698srq5u,2019-06-17T15:20:04.125Z,"23km NNE of Badger, Alaska",explosion,,0,,,reviewed,ak,ak
2016-07-19T23:08:33.444Z,63.1977,-150.7767,129.4,1.6,ml,,,,0.45,ak,ak01698srihc,2019-06-17T15:20:03.667Z,"94km WSW of Cantwell, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2016-07-19T23:04:35.917Z,38.2665,-118.7223,10.8,0.7,ml,6,231.37,0.172,0.0192,nn,nn00552512,2018-07-02T17:59:06.068Z,"29km SSW of Hawthorne, Nevada",earthquake,,10.3,0,2,reviewed,nn,nn
2016-07-19T22:59:12.909Z,69.6645,-146.305,21.5,1.5,ml,,,,0.55,ak,ak01698sgyt6,2019-06-17T15:20:03.115Z,"99km SE of Prudhoe Bay, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2016-07-19T22:54:48.920Z,38.8118333,-122.8146667,3.1,1.09,md,35,95,0.01171,0.07,nc,nc72663556,2017-02-10T17:10:19.480Z,"6km NW of The Geysers, California",earthquake,0.22,0.37,0.156,9,reviewed,nc,nc
2016-07-19T22:54:00.140Z,36.69,-121.3195,4.28,1.74,md,38,57,0.04414,0.07,nc,nc72663551,2017-02-10T17:10:09.990Z,"14km SSE of Ridgemark, California",earthquake,0.15,0.64,0.255,36,reviewed,nc,nc
2016-07-19T22:48:27.066Z,62.8045,-144.7912,10.6,1.3,ml,,,,0.5,ak,ak01698sen0y,2019-06-17T15:20:02.644Z,"86km NNE of Glennallen, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2016-07-19T22:33:06.680Z,13.5621,45.5838,10,4.2,mb,,130,3.349,0.31,us,us20006gt0,2016-09-17T01:27:51.040Z,"34km SE of Suq Sibah, Yemen",earthquake,7.6,2,0.265,4,reviewed,us,us
2016-07-19T22:31:04.950Z,33.5003333,-116.5333333,8.92,0.57,ml,18,115,0.05705,0.13,ci,ci37418839,2016-07-20T00:00:52.875Z,"14km ESE of Anza, CA",earthquake,0.33,0.47,0.129,10,reviewed,ci,ci
2016-07-19T22:27:12.270Z,33.4995,-116.5325,9.11,0.52,ml,17,109,0.05786,0.14,ci,ci37418831,2016-07-19T23:49:31.352Z,"14km ESE of Anza, CA",earthquake,0.34,0.5,0.104,12,reviewed,ci,ci
2016-07-19T22:25:32.210Z,35.9914,140.0323,39.28,5,mb,,108,0.271,1.09,us,us20006fzz,2016-09-17T01:27:51.040Z,"5km ESE of Mitsukaido, Japan",earthquake,5.9,5.3,0.04,199,reviewed,us,us
2016-07-19T22:20:33.270Z,33.8941667,-115.9765,3.05,1.61,ml,45,50,0.1077,0.15,ci,ci37418815,2016-07-20T00:12:35.630Z,"28km SSE of Twentynine Palms, CA",earthquake,0.17,0.77,0.189,51,reviewed,ci,ci
2016-07-19T22:16:30.260Z,36.6998333,-121.3385,4.11,1.42,md,22,95,0.07748,0.04,nc,nc72663546,2017-02-10T17:10:01.861Z,"12km S of Ridgemark, California",earthquake,0.22,0.73,0.158,19,reviewed,nc,nc
2016-07-19T22:09:44.140Z,37.031,-121.1978333,1.97,0.65,md,5,156,0.04775,0.03,nc,nc71104314,2017-02-10T17:09:57.051Z,"26km NE of Hollister, California",earthquake,0.59,1.46,0.145,4,reviewed,nc,nc
2016-07-19T22:07:47.740Z,44.8138333,-111.0238333,8.8,1.33,ml,10,172,0.05593,0.15,uu,uu60156232,2016-07-20T20:52:54.970Z,"18km NNE of West Yellowstone, Montana",earthquake,0.51,0.84,0.299,3,reviewed,uu,uu
2016-07-19T22:03:14.460Z,36.6928333,-121.324,3.81,1.96,md,50,57,0.04865,0.05,nc,nc72663541,2017-02-10T17:09:50.860Z,"13km SSE of Ridgemark, California",earthquake,0.11,0.57,0.256,45,reviewed,nc,nc
2016-07-19T21:51:11.670Z,36.6975,-121.3371667,4.4,1.26,md,17,123,0.08018,0.04,nc,nc72663536,2017-02-10T17:09:41.436Z,"13km SSE of Ridgemark, California",earthquake,0.25,1.2,0.168,15,reviewed,nc,nc
2016-07-19T21:49:43.892Z,61.243,-150.1244,35.3,1.5,ml,,,,0.69,ak,ak01698rtgfp,2019-06-17T15:20:02.110Z,"12km WNW of Anchorage, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2016-07-19T21:49:35.320Z,36.6978333,-121.3351667,5.38,1.16,md,17,124,0.08018,0.03,nc,nc72663531,2017-02-10T17:09:36.467Z,"13km SSE of Ridgemark, California",earthquake,0.23,1.74,0.187,14,reviewed,nc,nc
2016-07-19T21:49:05.975Z,59.9167,-139.1424,10,1.6,ml,,,,0.63,ak,ak01698rtdid,2019-06-17T15:20:01.684Z,"52km NE of Yakutat, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2016-07-19T21:48:15.440Z,36.6895,-121.3215,5.58,2.94,md,65,39,0.04505,0.06,nc,nc72663526,2017-02-10T17:09:30.090Z,"14km SSE of Ridgemark, California",earthquake,0.11,0.4,0.169,105,reviewed,nc,nc
2016-07-19T21:46:47.170Z,36.6921667,-121.3263333,4.71,1.53,md,30,63,0.08649,0.04,nc,nc72663521,2017-02-10T17:09:19.450Z,"13km SSE of Ridgemark, California",earthquake,0.19,1.02,0.241,31,reviewed,nc,nc
2016-07-19T21:45:20.990Z,36.6998333,-121.3393333,4.34,1.48,md,19,122,0.06306,0.04,nc,nc72663516,2017-02-10T17:09:11.265Z,"12km S of Ridgemark, California",earthquake,0.24,1.15,0.226,20,reviewed,nc,nc
2016-07-19T21:45:17.224Z,59.8462,-152.5011,72.5,2.2,ml,,,,0.68,ak,ak01698rsjii,2019-06-17T15:20:01.234Z,"38km WNW of Anchor Point, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2016-07-19T21:42:59.380Z,36.6971667,-121.3286667,4.18,1.4,md,24,63,0.08108,0.03,nc,nc72663511,2017-02-10T17:09:04.340Z,"13km SSE of Ridgemark, California",earthquake,0.27,1.27,0.163,20,reviewed,nc,nc
2016-07-19T21:42:35.710Z,33.6815,-116.7273333,15.17,0.8,ml,19,103,0.03156,0.08,ci,ci37418791,2016-07-19T21:59:40.469Z,"7km S of Idyllwild, CA",earthquake,0.22,0.36,0.155,9,reviewed,ci,ci
2016-07-19T21:39:43.420Z,38.8101667,-122.7971667,3.41,1.72,md,34,67,0.002703,0.05,nc,nc71103849,2017-02-10T17:08:54.670Z,"5km NW of The Geysers, California",earthquake,0.23,0.35,0.579,4,reviewed,nc,nc
2016-07-19T21:39:20.380Z,36.697,-121.3413333,4.24,3.93,mw,34,85,0.06306,0.08,nc,nc71103759,2017-02-10T17:08:42.700Z,"12km S of Ridgemark, California",earthquake,0.2,0.38,,4,reviewed,nc,nc
2016-07-19T21:38:38.910Z,36.6925,-121.3296667,5.87,4.22,mw,77,29,0.05225,0.1,nc,nc72663506,2020-02-13T04:10:24.696Z,"13km SSE of Ridgemark, California",earthquake,0.12,0.54,,8,reviewed,nc,nc
2016-07-19T21:36:46.590Z,38.8403333,-122.8283333,2.34,1.62,md,52,36,0.005405,0.05,nc,nc72663501,2017-02-10T17:07:56.030Z,"9km WNW of Cobb, California",earthquake,0.11,0.15,0.236,20,reviewed,nc,nc
2016-07-19T21:36:32.047Z,58.1628,-155.2965,5.2,1.8,ml,,,,0.6,ak,ak01698rqn7o,2019-06-17T15:20:00.769Z,"98km SE of King Salmon, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2016-07-19T21:30:28.602Z,60.5922,-142.7757,10,1.8,ml,,,,0.69,ak,ak01698rpcng,2019-06-17T15:20:00.256Z,"61km NNW of Cape Yakataga, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2016-07-19T21:21:51.060Z,47.7728333,-120.076,-0.35,0.57,md,5,127,0.03893,0.03,uw,uw61168707,2016-07-20T00:08:46.910Z,"8km SSW of Chelan, Washington",earthquake,0.34,5.05,0.478,5,reviewed,uw,uw
2016-07-19T21:15:43.720Z,38.809,-122.7985,3.3,1.36,md,45,67,0.002703,0.07,nc,nc72663491,2017-02-10T17:07:46.660Z,"5km NW of The Geysers, California",earthquake,0.22,0.33,0.247,15,reviewed,nc,nc
2016-07-19T21:15:31.140Z,33.683,-116.73,15.51,0.66,ml,23,108,0.03104,0.1,ci,ci37418775,2016-07-19T21:49:06.746Z,"6km S of Idyllwild, CA",earthquake,0.23,0.34,0.163,13,reviewed,ci,ci
2016-07-19T21:14:52.000Z,50.9785,-179.4048,7.5,2.7,ml,,233,,0.33,us,us20006hwr,2019-06-17T15:19:58.798Z,"37km SSW of Amatignak Island, Alaska",earthquake,4.3,7.2,,,reviewed,ak,ak
2016-07-19T21:03:59.790Z,-3.326,139.7818,10,4,mb,,169,7.532,1.24,us,us20006gsx,2016-09-17T01:27:51.040Z,"117km SW of Abepura, Indonesia",earthquake,8.4,1.9,0.164,10,reviewed,us,us
2016-07-19T21:03:14.420Z,19.4018333,-155.2786667,2.43,0.3,md,5,187,,0.09,hv,hv61345811,2020-07-06T20:58:10.400Z,"6 km SW of Volcano, Hawaii",earthquake,2.29,1.84,0.08,5,reviewed,hv,hv
2016-07-19T20:55:45.300Z,38.793499,-122.7259979,0.51,0.58,md,8,90,0.007207,0.02,nc,nc72663486,2017-02-10T17:07:38.764Z,"3km S of Cobb, California",earthquake,0.37,0.56,0.18,3,automatic,nc,nc
2016-07-19T20:52:49.052Z,66.9974,-146.4565,19.3,1,ml,,,,0.62,ak,ak01698r8odl,2019-06-17T15:19:58.351Z,"69km NW of Fort Yukon, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2016-07-19T20:46:12.460Z,38.8138351,-122.7908325,-0.56,1.14,md,10,75,0.006306,0.04,nc,nc72663481,2017-02-10T17:07:33.970Z,"5km W of Cobb, California",earthquake,0.22,0.56,0.06,3,automatic,nc,nc
2016-07-19T20:38:58.700Z,41.1105,-112.823,0,1.9,ml,,57,0.245,0.85,us,us20006gt5,2016-09-17T01:27:51.040Z,"Utah",quarry blast,1.7,2,0.059,38,reviewed,us,us
2016-07-19T20:36:32.210Z,38.808,-122.7361667,1.93,1.35,md,41,60,0.01261,0.09,nc,nc72663476,2017-02-10T17:07:27.570Z,"1km SW of Cobb, California",earthquake,0.16,0.31,0.234,15,reviewed,nc,nc
2016-07-19T20:35:06.330Z,36.0289,70.3348,100.81,4.5,mb,,172,1.822,1.08,us,us20006fyp,2016-09-17T01:27:51.040Z,"39km W of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,7.3,11.1,0.181,9,reviewed,us,us
2016-07-19T20:28:59.370Z,33.2881667,-116.795,12.71,0.75,ml,26,93,0.06026,0.17,ci,ci37418727,2016-07-19T21:26:41.276Z,"6km NNW of Lake Henshaw, CA",earthquake,0.31,0.62,0.123,21,reviewed,ci,ci
2016-07-19T20:27:48.610Z,38.8263333,-122.7791667,1.4,0.78,md,26,46,0.008108,0.02,nc,nc72663471,2017-02-10T17:07:18.350Z,"4km W of Cobb, California",earthquake,0.15,0.24,0.191,6,reviewed,nc,nc
2016-07-19T20:18:33.027Z,37.0017,-116.2172,4.5,0.7,ml,16,90.39,0.032,0.1619,nn,nn00552490,2018-07-02T17:59:06.163Z,"49km ENE of Beatty, Nevada",earthquake,,1.4,0.51,7,reviewed,nn,nn
2016-07-19T20:16:24.890Z,63.5686,-150.6686,7.5,0.9,ml,,,,0.64,ak,ak01698r0wqh,2019-06-17T15:19:57.919Z,"87km WNW of Cantwell, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2016-07-19T20:15:15.440Z,37.4991667,-122.409,-0.2,1.58,md,11,161,0.01261,0.12,nc,nc72663466,2017-02-10T17:07:10.740Z,"1km W of Quarry near Half Moon Bay, CA",quarry blast,0.37,31.61,0.109,10,reviewed,nc,nc
